Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Class
11.0,10.0,11.7917975,10.582565,0.42328,10.87383,12.106135,0.47619,0.01852,11.4076,-0.02116,11.303835,12.3887625,11.0477375,-0.4127,0.3254,-0.51587,10.8267475,-0.5,-0.1164,12.2371625,-0.1455,-0.14815,-0.38095,-0.2328,10.8904975,0.03574,-0.31739,12.2086625,-0.21693,12.14405,-0.24339,12.0344125,0.04233,1
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,0.87514,-0.01214,0.86821,-0.07514,0.72832,11.303835,12.3887625,11.0477375,0.83121,-0.07399,0.74798,10.8267475,0.78324,0.06358,12.2371625,10.837705,0.78844,10.9619025,0.74451,-0.0237,0.76717,11.048585,0.74046,-0.0763,12.14405,10.8641925,0.78439,0.01214,1
11.0,10.0,0.89589,10.582565,11.88101,0.71804,12.106135,0.90824,-0.04787,0.94415,-0.45725,11.303835,12.3887625,0.58511,-0.92819,10.894995,-0.92282,10.8267475,-0.76064,10.68793,12.2371625,-0.76197,-0.14895,-0.88591,12.2631,-0.85703,12.07021,-0.68593,0.74846,-0.40656,12.14405,10.8641925,12.0344125,0.27926,1
11.0,10.0,11.7917975,10.582565,0.91973,-0.76087,0.81773,11.1964475,12.252435,11.4076,0.86789,11.303835,12.3887625,11.0477375,12.298325,10.894995,0.93478,-0.25084,0.70736,0.18729,12.2371625,0.24582,0.60201,10.9619025,1.0,-0.53846,0.89262,0.22216,0.7107,0.53846,1.0,10.8641925,12.0344125,0.23913,0
11.0,10.0,0.72414,10.582565,11.88101,10.87383,0.8,0.00197,0.79015,11.4076,0.78424,11.303835,12.3887625,11.0477375,0.85123,10.894995,0.80099,-0.00788,0.79113,10.68793,12.2371625,10.837705,0.74778,10.9619025,0.72611,-0.01478,0.78041,0.00612,0.74089,10.740515,0.82956,0.02956,0.79015,10.677175,1
11.0,10.0,11.7917975,10.582565,11.88101,-0.04207,0.63107,-0.05178,0.77994,0.08091,0.67314,0.09709,0.64725,11.0477375,0.60194,-0.01942,0.54369,10.8267475,12.2481625,10.68793,0.64725,0.14887,12.2780875,0.21683,12.2631,10.8904975,12.07021,11.048585,0.31392,-0.06796,0.49191,10.8641925,0.30421,10.677175,1
11.0,10.0,0.52542,10.582565,0.94915,0.08475,12.106135,-0.16949,0.30508,-0.01695,12.3630575,-0.13559,12.3887625,11.0477375,12.298325,-0.35593,12.3392625,0.01695,12.2481625,10.68793,0.59322,0.30508,0.86441,0.05085,12.2631,10.8904975,0.67287,11.048585,0.66102,-0.0339,0.83051,10.8641925,0.76271,10.677175,1
11.0,10.0,0.88804,10.582565,11.88101,0.69431,12.106135,0.87892,-0.06726,0.90135,-0.39597,11.303835,12.3887625,11.0477375,-0.8296,10.894995,-0.7894,10.8267475,-0.6278,10.68793,-0.46637,-0.55605,-0.16449,-0.64338,12.2631,-0.61055,12.07021,-0.48392,12.2086625,-0.29838,0.47029,10.8641925,0.42152,10.677175,1
11.0,10.0,0.98822,10.582565,0.93102,10.87383,0.83904,0.35222,0.74706,11.4076,0.73584,11.303835,12.3887625,11.0477375,12.298325,0.66237,12.3392625,0.70443,12.2481625,10.68793,12.2371625,0.73696,12.2780875,10.9619025,-0.16489,0.69714,-0.16556,11.048585,-0.16209,0.55805,-0.34717,0.44195,-0.33483,0.37465,1
11.0,10.0,11.7917975,10.582565,11.88101,0.7616,0.09916,0.9346,-0.37764,11.4076,-0.72363,11.303835,12.3887625,11.0477375,-0.86709,-0.25527,-0.62869,-0.65612,-0.25105,10.68793,12.2371625,-0.86498,12.2780875,10.9619025,0.74895,10.8904975,0.77937,11.048585,0.64135,0.42827,12.14405,0.62447,-0.00422,0.69409,1
