Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Class
1.0,10.0,11.7917975,0.22751,11.88101,10.87383,12.106135,0.47619,12.252435,0.49471,-0.02116,0.53968,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,-0.5,10.68793,12.2371625,-0.1455,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,0.04233,1
11.0,10.0,0.82254,10.582565,11.88101,10.87383,0.87514,11.1964475,0.86821,11.4076,12.3630575,11.303835,12.3887625,11.0477375,0.83121,10.894995,0.74798,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,0.74451,-0.0237,12.07021,-0.02731,12.2086625,-0.0763,12.14405,10.8641925,12.0344125,10.677175,1
11.0,10.0,0.89589,10.582565,11.88101,0.71804,0.29521,0.90824,12.252435,11.4076,-0.45725,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,-0.76197,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,0.81773,11.1964475,0.76087,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,0.93478,10.8267475,12.2481625,10.68793,12.2371625,0.24582,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,0.53846,1.0,10.8641925,12.0344125,10.677175,0
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,0.8,11.1964475,0.79015,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,0.01675,0.80099,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,0.72611,-0.01478,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,0.71521,10.582565,11.88101,10.87383,0.63107,-0.05178,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,0.54369,10.8267475,12.2481625,10.68793,0.64725,10.837705,12.2780875,10.9619025,0.52427,10.8904975,12.07021,11.048585,0.31392,-0.06796,12.14405,10.8641925,12.0344125,10.677175,1
11.0,10.0,0.52542,10.582565,11.88101,0.08475,12.106135,-0.16949,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,0.83051,10.894995,12.3392625,10.8267475,12.2481625,10.68793,0.59322,10.837705,12.2780875,10.9619025,12.2631,0.15254,12.07021,-0.00266,12.2086625,-0.0339,12.14405,10.8641925,0.76271,10.677175,1
11.0,10.0,0.88804,10.582565,11.88101,0.69431,12.106135,0.87892,12.252435,11.4076,-0.39597,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,-0.08205,-0.6278,10.68793,12.2371625,10.837705,-0.16449,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,0.98822,10.582565,0.93102,10.87383,0.83904,11.1964475,12.252435,11.4076,12.3630575,0.51879,12.3887625,11.0477375,12.298325,10.894995,0.318,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,0.71284,12.2631,10.8904975,-0.16556,11.048585,12.2086625,0.55805,12.14405,10.8641925,12.0344125,10.677175,1
11.0,10.0,11.7917975,10.582565,11.88101,0.7616,12.106135,0.9346,12.252435,11.4076,12.3630575,0.61181,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,12.2481625,10.68793,0.16245,-0.86498,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,0.64135,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
0.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,-1.0,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,0
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,0.0,11.1964475,0.0,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,0.64662,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,-1.0,10.8904975,1.0,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,0
0.0,10.0,0.0,10.582565,11.88101,10.87383,12.106135,0.0,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,12.2631,10.8904975,1.0,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,0
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,0.76001,11.1964475,12.252435,-0.10984,12.3630575,11.303835,12.3887625,11.0477375,12.298325,0.88444,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,10.837705,0.8667,10.9619025,0.28604,-0.30063,1.0,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,0.68822,0
1.0,10.0,1.0,10.582565,11.88101,10.87383,1.0,0.09091,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,1.0,10.8267475,12.2481625,10.68793,12.2371625,10.837705,12.2780875,10.9619025,1.0,10.8904975,12.07021,11.048585,1.0,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
