Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Class
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,-0.02116,11.303835,12.3887625,11.0477375,-0.4127,10.894995,12.3392625,10.8267475,12.2481625,10.68793,-0.14815,10.837705,12.2780875,-0.38095,-0.2328,10.8904975,12.07021,11.048585,12.2086625,-0.21693,12.14405,10.8641925,0.2672,0.04233,1
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,-0.07514,12.3630575,11.303835,12.3887625,11.0477375,0.83121,10.894995,12.3392625,0.06705,12.2481625,10.68793,12.2371625,-0.0237,0.78844,10.9619025,12.2631,10.8904975,0.76717,-0.02731,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,0.94415,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,-0.92282,-0.15315,12.2481625,-0.48404,12.2371625,10.837705,12.2780875,-0.88591,12.2631,-0.85703,0.53229,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,-0.25084,12.2481625,0.18729,12.2371625,0.24582,12.2780875,0.77425,12.2631,10.8904975,12.07021,0.22216,12.2086625,0.53846,12.14405,10.8641925,0.56522,10.677175,0
11.0,0.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,-0.00788,12.2481625,10.68793,0.75961,10.837705,0.74778,0.05517,12.2631,10.8904975,0.78041,0.00612,12.2086625,10.740515,12.14405,10.8641925,0.79015,10.677175,1
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,0.46926,-0.10032,0.64725,0.14887,12.2780875,10.9619025,12.2631,10.8904975,12.07021,11.048585,12.2086625,-0.06796,12.14405,-0.1068,0.30421,-0.05178,1
11.0,0.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,0.83051,10.894995,12.3392625,0.01695,0.55932,10.68793,12.2371625,10.837705,12.2780875,0.05085,12.2631,10.8904975,0.67287,11.048585,12.2086625,10.740515,12.14405,-0.15254,12.0344125,-0.10169,1
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,-0.6278,10.68793,12.2371625,10.837705,12.2780875,-0.64338,0.09562,10.8904975,0.30406,11.048585,12.2086625,-0.29838,12.14405,-0.09461,0.42152,0.12556,1
11.0,10.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,0.48906,12.3630575,11.303835,0.55076,11.0477375,12.298325,0.66237,12.3392625,10.8267475,12.2481625,0.68873,12.2371625,10.837705,12.2780875,10.9619025,12.2631,0.69714,-0.16556,11.048585,12.2086625,10.740515,12.14405,0.44195,12.0344125,0.37465,1
1.0,0.0,11.7917975,10.582565,11.88101,10.87383,12.106135,11.1964475,12.252435,11.4076,-0.72363,11.303835,12.3887625,11.0477375,12.298325,10.894995,12.3392625,10.8267475,-0.25105,-0.85654,12.2371625,10.837705,12.2780875,-0.66878,12.2631,10.8904975,12.07021,11.048585,12.2086625,10.740515,12.14405,10.8641925,-0.00422,0.69409,1
