Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Class
1.0,10.0,0.4709,0.22751,0.42328,0.33598,12.106135,0.47619,0.01852,0.49471,-0.02116,0.53968,12.3887625,0.31217,12.298325,10.894995,-0.51587,10.8267475,12.2481625,-0.1164,12.2371625,10.837705,12.2780875,-0.38095,-0.2328,10.8904975,0.03574,11.048585,12.2086625,10.740515,12.14405,10.8641925,12.0344125,10.677175,1
1.0,10.0,0.82254,-0.07572,0.80462,10.87383,0.87514,11.1964475,0.86821,11.4076,12.3630575,11.303835,12.3887625,0.05029,0.83121,-0.07399,0.74798,10.8267475,12.2481625,10.68793,0.86763,10.837705,12.2780875,-0.06012,0.74451,10.8904975,12.07021,11.048585,0.74046,10.740515,0.70058,-0.0422,12.0344125,10.677175,1
1.0,10.0,0.89589,0.39286,0.66129,0.71804,12.106135,0.90824,-0.04787,0.94415,-0.45725,11.303835,12.3887625,11.0477375,12.298325,10.894995,-0.92282,10.8267475,12.2481625,10.68793,-0.50931,-0.76197,-0.14895,10.9619025,12.2631,10.8904975,12.07021,11.048585,0.74846,10.740515,0.83142,-0.07029,12.0344125,10.677175,1
1.0,10.0,0.68729,10.582565,0.91973,-0.76087,0.81773,11.1964475,0.76087,11.4076,12.3630575,11.303835,0.70067,11.0477375,0.7592,10.894995,12.3392625,10.8267475,12.2481625,0.18729,0.64883,10.837705,12.2780875,10.9619025,1.0,10.8904975,0.89262,0.22216,0.7107,0.53846,1.0,10.8641925,12.0344125,10.677175,0
1.0,10.0,0.72414,-0.01084,0.79704,10.87383,0.8,11.1964475,0.79015,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,0.01675,0.80099,10.8267475,12.2481625,-0.02956,0.75961,10.837705,12.2780875,0.05517,0.72611,10.8904975,12.07021,0.00612,0.74089,10.740515,0.82956,10.8641925,12.0344125,0.00788,1
1.0,10.0,0.71521,-0.00647,0.66667,10.87383,0.63107,11.1964475,0.77994,11.4076,12.3630575,11.303835,0.64725,11.0477375,0.60194,10.894995,12.3392625,-0.04531,12.2481625,10.68793,0.64725,10.837705,12.2780875,0.21683,0.52427,10.8904975,12.07021,0.0004,0.31392,10.740515,0.49191,10.8641925,12.0344125,-0.05178,1
1.0,10.0,0.52542,-0.0339,0.94915,10.87383,0.52542,11.1964475,0.30508,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,-0.35593,0.54237,10.8267475,0.55932,10.68793,0.59322,10.837705,12.2780875,0.05085,0.40678,10.8904975,12.07021,-0.00266,0.66102,10.740515,0.83051,10.8641925,12.0344125,-0.10169,1
1.0,10.0,0.88804,0.38138,0.65926,0.69431,12.106135,0.87892,-0.06726,0.90135,-0.39597,0.80441,12.3887625,11.0477375,12.298325,10.894995,-0.7894,10.8267475,12.2481625,10.68793,12.2371625,-0.55605,-0.16449,10.9619025,12.2631,10.8904975,0.30406,11.048585,0.43227,10.740515,0.47029,10.8641925,12.0344125,10.677175,1
1.0,10.0,0.98822,0.02187,0.93102,0.341,0.83904,0.35222,0.74706,11.4076,12.3630575,0.51879,12.3887625,0.60179,12.298325,10.894995,12.3392625,10.8267475,12.2481625,0.68873,12.2371625,10.837705,12.2780875,0.71284,-0.16489,10.8904975,-0.16556,0.6051,12.2086625,10.740515,-0.34717,10.8641925,12.0344125,10.677175,1
1.0,10.0,0.84177,0.4346,11.88101,0.7616,0.09916,0.9346,-0.37764,0.88186,-0.72363,11.303835,12.3887625,11.0477375,12.298325,-0.25527,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,-0.86498,12.2780875,10.9619025,0.74895,10.8904975,12.07021,11.048585,0.64135,10.740515,0.31435,10.8641925,-0.00422,0.69409,1
0.0,10.0,11.7917975,1.0,0.0,10.87383,12.106135,-1.0,12.252435,-1.0,12.3630575,1.0,12.3887625,1.0,12.298325,-1.0,12.3392625,1.0,12.2481625,1.0,12.2371625,-1.0,-1.0,-1.0,12.2631,-1.0,12.07021,-1.0,12.2086625,1.0,12.14405,10.8641925,12.0344125,10.677175,0
11.0,10.0,1.0,1.0,0.0,10.87383,0.0,11.1964475,0.0,11.4076,12.3630575,-0.89098,-0.51504,11.0477375,-0.95489,10.894995,12.3392625,1.0,0.0,10.68793,12.2371625,10.837705,12.2780875,10.9619025,-1.0,-1.0,1.0,-1.0,12.2086625,1.0,0.0,10.8641925,12.0344125,10.677175,0
0.0,10.0,0.0,10.582565,0.0,0.0,0.0,0.0,0.0,11.4076,0.0,11.303835,12.3887625,11.0477375,0.0,10.894995,12.3392625,10.8267475,0.0,10.68793,0.0,10.837705,12.2780875,0.0,0.0,10.8904975,1.0,11.048585,0.0,10.740515,0.0,10.8641925,12.0344125,10.677175,0
11.0,10.0,11.7917975,0.40332,0.82809,0.80521,0.76001,11.1964475,0.8401,11.4076,0.97311,11.303835,12.3887625,-0.85727,12.298325,0.88444,12.3392625,10.8267475,12.2481625,10.68793,12.2371625,10.837705,0.8667,-0.85755,12.2631,10.8904975,1.0,11.048585,0.62958,10.740515,0.87757,0.81007,0.81979,0.68822,0
1.0,10.0,1.0,0.45455,1.0,-0.45455,1.0,11.1964475,1.0,11.4076,12.3630575,11.303835,12.3887625,11.0477375,12.298325,-0.18182,12.3392625,10.8267475,12.2481625,10.68793,1.0,10.837705,12.2780875,10.9619025,1.0,10.8904975,1.0,-0.04914,1.0,10.740515,1.0,10.8641925,1.0,-0.18182,1
1.0,10.0,1.0,10.582565,0.99672,10.87383,0.97545,11.1964475,0.61745,-1.0,12.3630575,11.303835,12.3887625,11.0477375,12.298325,10.894995,0.76929,10.8267475,12.2481625,0.41003,0.6585,10.837705,12.2780875,0.16516,0.54446,10.8904975,12.07021,0.16019,0.43481,10.740515,0.38352,10.8641925,1.0,1.0,0
11.0,10.0,0.88241,0.30634,0.73232,0.57816,12.106135,0.58527,12.252435,1.0,-0.09238,0.92118,-0.62403,11.0477375,12.298325,0.32558,-0.81422,10.8267475,12.2481625,10.68793,-0.78973,10.837705,12.2780875,10.9619025,-0.57242,10.8904975,-0.3161,-0.81876,12.2086625,10.740515,12.14405,10.8641925,12.0344125,-0.81686,1
