Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Class
1.0,0.0,11.7917975,0.22751,11.88101,10.87383,12.106135,11.1964475,0.01852,11.4076,-0.02116,11.303835,-0.34127,0.31217,-0.4127,0.3254,-0.51587,0.06878,-0.5,-0.1164,-0.14815,-0.1455,-0.14815,-0.38095,-0.2328,0.00265,12.07021,-0.31739,0.15873,-0.21693,0.24868,-0.24339,0.2672,0.04233,1
11.0,0.0,0.82254,-0.07572,11.88101,10.87383,12.106135,11.1964475,0.86821,-0.07514,0.72832,-0.11734,0.84624,0.05029,0.83121,-0.07399,12.3392625,0.06705,0.78324,0.06358,0.86763,-0.0237,0.78844,-0.06012,0.74451,-0.0237,0.76717,11.048585,12.2086625,-0.0763,0.70058,-0.0422,0.78439,0.01214,1
11.0,0.0,0.89589,10.582565,0.66129,10.87383,0.29521,11.1964475,-0.04787,0.94415,12.3630575,11.303835,-0.7766,0.58511,-0.92819,0.25133,-0.92282,-0.15315,-0.76064,-0.48404,-0.50931,10.837705,-0.14895,-0.88591,12.2631,-0.85703,0.53229,-0.68593,0.74846,-0.40656,0.83142,-0.07029,0.76862,0.27926,1
1.0,0.0,11.7917975,1.0,11.88101,-0.76087,12.106135,0.04348,0.76087,0.10702,0.86789,0.73746,0.70067,0.18227,12.298325,0.13712,0.93478,10.8267475,0.70736,0.18729,12.2371625,0.24582,0.60201,0.77425,12.2631,-0.53846,0.89262,0.22216,0.7107,0.53846,1.0,-0.06522,0.56522,10.677175,0
11.0,0.0,11.7917975,-0.01084,0.79704,0.01084,0.8,0.00197,12.252435,0.01084,0.78424,-0.00985,0.8335,11.0477375,0.85123,0.01675,12.3392625,10.8267475,0.79113,-0.02956,0.75961,10.837705,0.74778,0.05517,0.72611,-0.01478,0.78041,11.048585,0.74089,-0.05025,0.82956,0.02956,0.79015,0.00788,1
11.0,0.0,11.7917975,-0.00647,11.88101,-0.04207,12.106135,-0.05178,0.77994,0.08091,0.67314,11.303835,0.64725,0.15858,0.60194,-0.01942,0.54369,-0.04531,0.46926,-0.10032,0.64725,0.14887,0.39159,0.21683,12.2631,-0.05502,0.45105,0.0004,0.31392,-0.06796,12.14405,-0.1068,0.30421,10.677175,1
11.0,0.0,11.7917975,-0.0339,0.94915,10.87383,12.106135,-0.16949,12.252435,-0.01695,0.50847,-0.13559,0.64407,0.28814,0.83051,-0.35593,0.54237,0.01695,0.55932,0.0339,0.59322,0.30508,0.86441,0.05085,12.2631,0.15254,0.67287,-0.00266,0.66102,-0.0339,0.83051,-0.15254,0.76271,10.677175,1
1.0,0.0,11.7917975,0.38138,0.65926,10.87383,0.29148,11.1964475,-0.06726,0.90135,-0.39597,0.80441,-0.64574,0.56502,-0.8296,0.26906,-0.7894,-0.08205,-0.6278,-0.30942,-0.46637,-0.55605,-0.16449,-0.64338,0.09562,-0.61055,0.30406,-0.48392,0.43227,-0.29838,0.47029,-0.09461,0.42152,10.677175,1
1.0,0.0,11.7917975,0.02187,11.88101,0.341,12.106135,11.1964475,0.74706,0.48906,0.73584,0.51879,0.55076,0.60179,0.4313,0.66237,0.318,10.8267475,0.28379,0.68873,0.07515,10.837705,0.06338,0.71284,-0.16489,0.69714,12.07021,11.048585,-0.16209,0.55805,-0.34717,0.44195,-0.33483,0.37465,1
11.0,0.0,0.84177,10.582565,11.88101,10.87383,0.09916,11.1964475,-0.37764,0.88186,12.3630575,0.61181,-0.93882,11.0477375,-0.86709,-0.25527,-0.62869,-0.65612,-0.25105,-0.85654,0.16245,-0.86498,0.51477,10.9619025,0.74895,-0.28903,0.77937,0.07933,0.64135,0.42827,0.31435,0.62447,-0.00422,0.69409,1
