word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,16.883,108.5,3.0,0
0.71,0.0,0.71,0.0,0.0,0.0,10.0,10.0,0.0,0.71,0.0,1.43,0.0,10.0,0.0,1.43,0.0,0.0,1.43,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,10.0,1.032,2.0,622.5,0
0.0,0.0,0.91,10.0,0.0,10.0,10.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,10.0,0.91,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.45,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,1.32,7.0,103.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.275,0.0,0.0,0.0,0.0,0.201,0.0,0.0,0.1,0.0,4.548,59.0,141.0,1
0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,3.29,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.0,10.0,0.0,0.27,0.0,0.27,0.27,0.0,0.0,0.0,0.188,0.047,0.0,10.13,0.0,1.745,12.0,89.0,0
0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,4.83,4.83,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.7875,0.302,0.0,1.7,108.5,17.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,2.473,10.0,47.0,0
0.51,0.0,0.51,0.0,1.53,0.51,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,10.25,0.0,0.0,3.58,0.0,0.0,0.0,10.0,0.0,2.56,0.0,10.0,0.51,0.51,2.05,0.51,0.51,0.0,0.51,10.0,1.02,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.02,0.51,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,1.983,24.0,121.0,0
0.0,0.0,0.44,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,10.0,0.0,2.67,0.0,13.175,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,10.0,0.0,0.44,0.0,0.0,0.0,0.44,10.0,0.0,0.0,0.0,0.074,0.0,10.7875,0.0,0.0,1.115,2.0,29.0,0
0.27,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.1,0.97,0.0,0.1,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.27,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.607,0.064,0.036,0.055,10.13,0.202,16.883,43.0,1789.0,0
