Number of reserved features,Faithfulness score,Interpreter,Model
1,0.8367,SHAP,RF
2,0.6432,SHAP,RF
3,0.701,SHAP,RF
4,0.8367,SHAP,RF
5,0.8518,SHAP,RF
6,0.9296,SHAP,RF
7,0.9347,SHAP,RF
8,0.9447,SHAP,RF
9,0.9397,SHAP,RF
10,0.9523,SHAP,RF
11,0.9623,SHAP,RF
12,0.9799,SHAP,RF
13,0.9799,SHAP,RF
14,0.9874,SHAP,RF
15,0.9849,SHAP,RF
16,0.9874,SHAP,RF
17,0.9774,SHAP,RF
18,0.9874,SHAP,RF
19,0.9899,SHAP,RF
20,0.9824,SHAP,RF
21,0.9925,SHAP,RF
22,0.9925,SHAP,RF
23,0.9925,SHAP,RF
24,0.9925,SHAP,RF
25,0.9975,SHAP,RF
26,0.995,SHAP,RF
27,0.9975,SHAP,RF
28,0.9899,SHAP,RF
29,0.9925,SHAP,RF
30,1,SHAP,RF
1,0.8367,LIME,RF
2,0.8719,LIME,RF
3,0.8844,LIME,RF
4,0.8794,LIME,RF
5,0.9045,LIME,RF
6,0.902,LIME,RF
7,0.892,LIME,RF
8,0.8844,LIME,RF
9,0.8894,LIME,RF
10,0.8693,LIME,RF
11,0.9146,LIME,RF
12,0.9095,LIME,RF
13,0.9221,LIME,RF
14,0.9271,LIME,RF
15,0.9221,LIME,RF
16,0.9322,LIME,RF
17,0.9296,LIME,RF
18,0.9397,LIME,RF
19,0.9347,LIME,RF
20,0.9472,LIME,RF
21,0.9598,LIME,RF
22,0.9673,LIME,RF
23,0.9774,LIME,RF
24,0.9698,LIME,RF
25,0.9724,LIME,RF
26,0.9774,LIME,RF
27,0.9774,LIME,RF
28,0.9849,LIME,RF
29,0.9899,LIME,RF
30,1,LIME,RF
1,0.9146,Anchor,RF
2,0.8467,Anchor,RF
3,0.8141,Anchor,RF
4,0.8769,Anchor,RF
5,0.8769,Anchor,RF
6,0.8769,Anchor,RF
7,0.8769,Anchor,RF
8,0.8769,Anchor,RF
9,0.8769,Anchor,RF
10,0.8769,Anchor,RF
11,0.8769,Anchor,RF
12,0.8769,Anchor,RF
13,0.8769,Anchor,RF
14,0.8769,Anchor,RF
15,0.8769,Anchor,RF
16,0.8769,Anchor,RF
17,0.8769,Anchor,RF
18,0.8769,Anchor,RF
19,0.8769,Anchor,RF
20,0.8769,Anchor,RF
21,0.8769,Anchor,RF
22,0.8769,Anchor,RF
23,0.8769,Anchor,RF
24,0.8769,Anchor,RF
25,0.8769,Anchor,RF
26,0.8769,Anchor,RF
27,0.8769,Anchor,RF
28,0.8769,Anchor,RF
29,0.8769,Anchor,RF
30,0.8769,Anchor,RF
1,0.9648,LORE,RF
2,0.9322,LORE,RF
3,0.8543,LORE,RF
4,0.8568,LORE,RF
5,0.8392,LORE,RF
6,0.8668,LORE,RF
7,0.8819,LORE,RF
8,0.8769,LORE,RF
9,0.8794,LORE,RF
10,0.8744,LORE,RF
11,0.8744,LORE,RF
12,0.8744,LORE,RF
13,0.8744,LORE,RF
14,0.8744,LORE,RF
15,0.8744,LORE,RF
16,0.8744,LORE,RF
17,0.8744,LORE,RF
18,0.8744,LORE,RF
19,0.8744,LORE,RF
20,0.8744,LORE,RF
21,0.8744,LORE,RF
22,0.8744,LORE,RF
23,0.8744,LORE,RF
24,0.8744,LORE,RF
25,0.8744,LORE,RF
26,0.8744,LORE,RF
27,0.8744,LORE,RF
28,0.8744,LORE,RF
29,0.8744,LORE,RF
30,0.8744,LORE,RF
1,0.6558,SHAP,SVC
2,0.6558,SHAP,SVC
3,0.6558,SHAP,SVC
4,0.6558,SHAP,SVC
5,0.6558,SHAP,SVC
6,0.6558,SHAP,SVC
7,0.6558,SHAP,SVC
8,0.6558,SHAP,SVC
9,0.6558,SHAP,SVC
10,0.6558,SHAP,SVC
11,0.6558,SHAP,SVC
12,0.6558,SHAP,SVC
13,0.6558,SHAP,SVC
14,0.6558,SHAP,SVC
15,0.6558,SHAP,SVC
16,0.8819,SHAP,SVC
17,0.8869,SHAP,SVC
18,0.9196,SHAP,SVC
19,0.892,SHAP,SVC
20,0.8844,SHAP,SVC
21,0.9196,SHAP,SVC
22,0.907,SHAP,SVC
23,0.9121,SHAP,SVC
24,0.9171,SHAP,SVC
25,0.9221,SHAP,SVC
26,0.9196,SHAP,SVC
27,0.9221,SHAP,SVC
28,0.9196,SHAP,SVC
29,0.9799,SHAP,SVC
30,1,SHAP,SVC
1,0.6558,LIME,SVC
2,0.6558,LIME,SVC
3,0.6558,LIME,SVC
4,0.6558,LIME,SVC
5,0.6558,LIME,SVC
6,0.6558,LIME,SVC
7,0.6558,LIME,SVC
8,0.6558,LIME,SVC
9,0.6558,LIME,SVC
10,0.6558,LIME,SVC
11,0.6558,LIME,SVC
12,0.6558,LIME,SVC
13,0.6558,LIME,SVC
14,0.6558,LIME,SVC
15,0.6558,LIME,SVC
16,0.6558,LIME,SVC
17,0.6558,LIME,SVC
18,0.8015,LIME,SVC
19,0.8216,LIME,SVC
20,0.8317,LIME,SVC
21,0.8442,LIME,SVC
22,0.8719,LIME,SVC
23,0.8794,LIME,SVC
24,0.8844,LIME,SVC
25,0.8869,LIME,SVC
26,0.897,LIME,SVC
27,0.8995,LIME,SVC
28,0.9121,LIME,SVC
29,0.9372,LIME,SVC
30,1,LIME,SVC
1,0.6558,Anchor,SVC
2,0.6558,Anchor,SVC
3,0.6558,Anchor,SVC
4,0.6558,Anchor,SVC
5,0.6558,Anchor,SVC
6,0.6558,Anchor,SVC
7,0.6558,Anchor,SVC
8,0.6558,Anchor,SVC
9,0.6558,Anchor,SVC
10,0.6558,Anchor,SVC
11,0.6558,Anchor,SVC
12,0.6558,Anchor,SVC
13,0.6558,Anchor,SVC
14,0.6558,Anchor,SVC
15,0.6558,Anchor,SVC
16,0.6558,Anchor,SVC
17,0.6558,Anchor,SVC
18,0.6558,Anchor,SVC
19,0.6558,Anchor,SVC
20,0.6558,Anchor,SVC
21,0.6558,Anchor,SVC
22,0.6558,Anchor,SVC
23,0.6558,Anchor,SVC
24,0.6558,Anchor,SVC
25,0.6558,Anchor,SVC
26,0.6558,Anchor,SVC
27,0.6558,Anchor,SVC
28,0.6558,Anchor,SVC
29,0.6558,Anchor,SVC
30,0.6558,Anchor,SVC
1,0.6558,LORE,SVC
2,0.6558,LORE,SVC
3,0.6558,LORE,SVC
4,0.6558,LORE,SVC
5,0.6558,LORE,SVC
6,0.6558,LORE,SVC
7,0.6558,LORE,SVC
8,0.6558,LORE,SVC
9,0.6558,LORE,SVC
10,0.6558,LORE,SVC
11,0.6558,LORE,SVC
12,0.6558,LORE,SVC
13,0.6558,LORE,SVC
14,0.6558,LORE,SVC
15,0.6558,LORE,SVC
16,0.6558,LORE,SVC
17,0.6558,LORE,SVC
18,0.6558,LORE,SVC
19,0.6558,LORE,SVC
20,0.6558,LORE,SVC
21,0.6558,LORE,SVC
22,0.6558,LORE,SVC
23,0.6558,LORE,SVC
24,0.6558,LORE,SVC
25,0.6558,LORE,SVC
26,0.6558,LORE,SVC
27,0.6558,LORE,SVC
28,0.6558,LORE,SVC
29,0.6558,LORE,SVC
30,0.6558,LORE,SVC
1,0.6407,SHAP,MLP
2,0.6432,SHAP,MLP
3,0.6608,SHAP,MLP
4,0.6759,SHAP,MLP
5,0.6809,SHAP,MLP
6,0.6407,SHAP,MLP
7,0.6432,SHAP,MLP
8,0.6432,SHAP,MLP
9,0.6457,SHAP,MLP
10,0.6457,SHAP,MLP
11,0.6457,SHAP,MLP
12,0.6457,SHAP,MLP
13,0.6482,SHAP,MLP
14,0.6482,SHAP,MLP
15,0.6482,SHAP,MLP
16,0.6608,SHAP,MLP
17,0.6633,SHAP,MLP
18,0.6608,SHAP,MLP
19,0.6658,SHAP,MLP
20,0.6683,SHAP,MLP
21,0.6709,SHAP,MLP
22,0.7035,SHAP,MLP
23,0.7186,SHAP,MLP
24,0.7839,SHAP,MLP
25,0.8191,SHAP,MLP
26,0.8317,SHAP,MLP
27,0.8668,SHAP,MLP
28,0.8869,SHAP,MLP
29,0.9246,SHAP,MLP
30,1,SHAP,MLP
1,0.6407,LIME,MLP
2,0.6759,LIME,MLP
3,0.6432,LIME,MLP
4,0.6759,LIME,MLP
5,0.6407,LIME,MLP
6,0.6407,LIME,MLP
7,0.6407,LIME,MLP
8,0.6407,LIME,MLP
9,0.6457,LIME,MLP
10,0.6457,LIME,MLP
11,0.6457,LIME,MLP
12,0.6457,LIME,MLP
13,0.6683,LIME,MLP
14,0.6608,LIME,MLP
15,0.6457,LIME,MLP
16,0.6658,LIME,MLP
17,0.6558,LIME,MLP
18,0.6608,LIME,MLP
19,0.6683,LIME,MLP
20,0.706,LIME,MLP
21,0.7236,LIME,MLP
22,0.7387,LIME,MLP
23,0.7362,LIME,MLP
24,0.7588,LIME,MLP
25,0.804,LIME,MLP
26,0.8317,LIME,MLP
27,0.8643,LIME,MLP
28,0.8894,LIME,MLP
29,0.9171,LIME,MLP
30,1,LIME,MLP
1,0.6407,Anchor,MLP
2,0.6407,Anchor,MLP
3,0.6407,Anchor,MLP
4,0.6407,Anchor,MLP
5,0.6407,Anchor,MLP
6,0.6407,Anchor,MLP
7,0.6407,Anchor,MLP
8,0.6407,Anchor,MLP
9,0.6407,Anchor,MLP
10,0.6407,Anchor,MLP
11,0.6407,Anchor,MLP
12,0.6407,Anchor,MLP
13,0.6407,Anchor,MLP
14,0.6407,Anchor,MLP
15,0.6407,Anchor,MLP
16,0.6407,Anchor,MLP
17,0.6407,Anchor,MLP
18,0.6407,Anchor,MLP
19,0.6407,Anchor,MLP
20,0.6407,Anchor,MLP
21,0.6407,Anchor,MLP
22,0.6407,Anchor,MLP
23,0.6407,Anchor,MLP
24,0.6407,Anchor,MLP
25,0.6407,Anchor,MLP
26,0.6407,Anchor,MLP
27,0.6407,Anchor,MLP
28,0.6407,Anchor,MLP
29,0.6407,Anchor,MLP
30,0.6407,Anchor,MLP
1,0.6407,LORE,MLP
2,0.6407,LORE,MLP
3,0.6407,LORE,MLP
4,0.6407,LORE,MLP
5,0.6407,LORE,MLP
6,0.6407,LORE,MLP
7,0.6407,LORE,MLP
8,0.6407,LORE,MLP
9,0.6407,LORE,MLP
10,0.6407,LORE,MLP
11,0.6407,LORE,MLP
12,0.6407,LORE,MLP
13,0.6407,LORE,MLP
14,0.6407,LORE,MLP
15,0.6407,LORE,MLP
16,0.6407,LORE,MLP
17,0.6407,LORE,MLP
18,0.6407,LORE,MLP
19,0.6407,LORE,MLP
20,0.6407,LORE,MLP
21,0.6407,LORE,MLP
22,0.6407,LORE,MLP
23,0.6407,LORE,MLP
24,0.6407,LORE,MLP
25,0.6407,LORE,MLP
26,0.6407,LORE,MLP
27,0.6407,LORE,MLP
28,0.6407,LORE,MLP
29,0.6407,LORE,MLP
30,0.6407,LORE,MLP
