Number of removed features,Validity score,Interpreter,Model
1,0.009,SHAP,RF
2,0.1171,SHAP,RF
3,0.4775,SHAP,RF
4,0.8649,SHAP,RF
5,0.982,SHAP,RF
6,1,SHAP,RF
7,1,SHAP,RF
8,1,SHAP,RF
9,1,SHAP,RF
10,1,SHAP,RF
11,1,SHAP,RF
12,1,SHAP,RF
13,1,SHAP,RF
14,1,SHAP,RF
15,1,SHAP,RF
16,1,SHAP,RF
17,1,SHAP,RF
18,1,SHAP,RF
19,1,SHAP,RF
20,1,SHAP,RF
21,1,SHAP,RF
22,1,SHAP,RF
23,1,SHAP,RF
24,1,SHAP,RF
25,1,SHAP,RF
26,1,SHAP,RF
27,1,SHAP,RF
28,1,SHAP,RF
29,1,SHAP,RF
30,1,SHAP,RF
1,0.018,LIME,RF
2,0.1081,LIME,RF
3,0.5315,LIME,RF
4,0.9009,LIME,RF
5,0.991,LIME,RF
6,0.982,LIME,RF
7,1,LIME,RF
8,1,LIME,RF
9,1,LIME,RF
10,1,LIME,RF
11,1,LIME,RF
12,1,LIME,RF
13,1,LIME,RF
14,1,LIME,RF
15,1,LIME,RF
16,1,LIME,RF
17,1,LIME,RF
18,1,LIME,RF
19,1,LIME,RF
20,1,LIME,RF
21,1,LIME,RF
22,1,LIME,RF
23,1,LIME,RF
24,1,LIME,RF
25,1,LIME,RF
26,1,LIME,RF
27,1,LIME,RF
28,1,LIME,RF
29,1,LIME,RF
30,1,LIME,RF
1,0.009,Anchor,RF
2,0.036,Anchor,RF
3,0.036,Anchor,RF
4,0.036,Anchor,RF
5,0.036,Anchor,RF
6,0.036,Anchor,RF
7,0.036,Anchor,RF
8,0.036,Anchor,RF
9,0.036,Anchor,RF
10,0.036,Anchor,RF
11,0.036,Anchor,RF
12,0.036,Anchor,RF
13,0.036,Anchor,RF
14,0.036,Anchor,RF
15,0.036,Anchor,RF
16,0.036,Anchor,RF
17,0.036,Anchor,RF
18,0.036,Anchor,RF
19,0.036,Anchor,RF
20,0.036,Anchor,RF
21,0.036,Anchor,RF
22,0.036,Anchor,RF
23,0.036,Anchor,RF
24,0.036,Anchor,RF
25,0.036,Anchor,RF
26,0.036,Anchor,RF
27,0.036,Anchor,RF
28,0.036,Anchor,RF
29,0.036,Anchor,RF
30,0.036,Anchor,RF
1,0.0901,LORE,RF
2,0.1892,LORE,RF
3,0.3153,LORE,RF
4,0.4234,LORE,RF
5,0.4414,LORE,RF
6,0.4414,LORE,RF
7,0.4414,LORE,RF
8,0.4414,LORE,RF
9,0.4414,LORE,RF
10,0.4414,LORE,RF
11,0.4414,LORE,RF
12,0.4414,LORE,RF
13,0.4414,LORE,RF
14,0.4414,LORE,RF
15,0.4414,LORE,RF
16,0.4414,LORE,RF
17,0.4414,LORE,RF
18,0.4414,LORE,RF
19,0.4414,LORE,RF
20,0.4414,LORE,RF
21,0.4414,LORE,RF
22,0.4414,LORE,RF
23,0.4414,LORE,RF
24,0.4414,LORE,RF
25,0.4414,LORE,RF
26,0.4414,LORE,RF
27,0.4414,LORE,RF
28,0.4414,LORE,RF
29,0.4414,LORE,RF
30,0.4414,LORE,RF
1,0.7778,SHAP,SVC
2,0.963,SHAP,SVC
3,1,SHAP,SVC
4,1,SHAP,SVC
5,1,SHAP,SVC
6,1,SHAP,SVC
7,1,SHAP,SVC
8,1,SHAP,SVC
9,1,SHAP,SVC
10,1,SHAP,SVC
11,1,SHAP,SVC
12,1,SHAP,SVC
13,1,SHAP,SVC
14,1,SHAP,SVC
15,1,SHAP,SVC
16,1,SHAP,SVC
17,1,SHAP,SVC
18,1,SHAP,SVC
19,1,SHAP,SVC
20,1,SHAP,SVC
21,1,SHAP,SVC
22,1,SHAP,SVC
23,1,SHAP,SVC
24,1,SHAP,SVC
25,1,SHAP,SVC
26,1,SHAP,SVC
27,1,SHAP,SVC
28,1,SHAP,SVC
29,1,SHAP,SVC
30,1,SHAP,SVC
1,0.5741,LIME,SVC
2,0.8611,LIME,SVC
3,1,LIME,SVC
4,1,LIME,SVC
5,1,LIME,SVC
6,1,LIME,SVC
7,1,LIME,SVC
8,1,LIME,SVC
9,1,LIME,SVC
10,1,LIME,SVC
11,1,LIME,SVC
12,1,LIME,SVC
13,1,LIME,SVC
14,1,LIME,SVC
15,1,LIME,SVC
16,1,LIME,SVC
17,1,LIME,SVC
18,1,LIME,SVC
19,1,LIME,SVC
20,1,LIME,SVC
21,1,LIME,SVC
22,1,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
26,1,LIME,SVC
27,1,LIME,SVC
28,1,LIME,SVC
29,1,LIME,SVC
30,1,LIME,SVC
1,0.6389,Anchor,SVC
2,0.963,Anchor,SVC
3,0.963,Anchor,SVC
4,0.963,Anchor,SVC
5,0.963,Anchor,SVC
6,0.963,Anchor,SVC
7,0.963,Anchor,SVC
8,0.963,Anchor,SVC
9,0.963,Anchor,SVC
10,0.963,Anchor,SVC
11,0.963,Anchor,SVC
12,0.963,Anchor,SVC
13,0.963,Anchor,SVC
14,0.963,Anchor,SVC
15,0.963,Anchor,SVC
16,0.963,Anchor,SVC
17,0.963,Anchor,SVC
18,0.963,Anchor,SVC
19,0.963,Anchor,SVC
20,0.963,Anchor,SVC
21,0.963,Anchor,SVC
22,0.963,Anchor,SVC
23,0.963,Anchor,SVC
24,0.963,Anchor,SVC
25,0.963,Anchor,SVC
26,0.963,Anchor,SVC
27,0.963,Anchor,SVC
28,0.963,Anchor,SVC
29,0.963,Anchor,SVC
30,0.963,Anchor,SVC
1,0.713,LORE,SVC
2,0.9537,LORE,SVC
3,0.9907,LORE,SVC
