Number of reserved features,Faithfulness score,Interpreter,Model
1,0.6908,SHAP,RF
2,0.5314,SHAP,RF
3,0.5217,SHAP,RF
4,0.6715,SHAP,RF
5,0.8502,SHAP,RF
6,0.8116,SHAP,RF
7,0.8647,SHAP,RF
8,0.8986,SHAP,RF
9,0.8164,SHAP,RF
10,0.8841,SHAP,RF
11,0.8937,SHAP,RF
12,0.8986,SHAP,RF
13,0.9275,SHAP,RF
14,0.942,SHAP,RF
15,0.9662,SHAP,RF
16,0.9614,SHAP,RF
17,0.942,SHAP,RF
18,0.9469,SHAP,RF
19,0.9517,SHAP,RF
20,0.9614,SHAP,RF
21,0.971,SHAP,RF
22,0.9758,SHAP,RF
23,0.9662,SHAP,RF
24,1,SHAP,RF
25,1,SHAP,RF
1,0.7971,LIME,RF
2,0.8454,LIME,RF
3,0.8309,LIME,RF
4,0.7971,LIME,RF
5,0.8647,LIME,RF
6,0.8647,LIME,RF
7,0.8502,LIME,RF
8,0.8841,LIME,RF
9,0.8696,LIME,RF
10,0.9179,LIME,RF
11,0.913,LIME,RF
12,0.9082,LIME,RF
13,0.9034,LIME,RF
14,0.8937,LIME,RF
15,0.9372,LIME,RF
16,0.9082,LIME,RF
17,0.8937,LIME,RF
18,0.9227,LIME,RF
19,0.913,LIME,RF
20,0.9227,LIME,RF
21,0.913,LIME,RF
22,0.9179,LIME,RF
23,0.942,LIME,RF
24,0.9662,LIME,RF
25,1,LIME,RF
1,0.8068,Anchor,RF
2,0.8696,Anchor,RF
3,0.8696,Anchor,RF
4,0.8986,Anchor,RF
5,0.8986,Anchor,RF
6,0.8986,Anchor,RF
7,0.8986,Anchor,RF
8,0.8986,Anchor,RF
9,0.8986,Anchor,RF
10,0.8986,Anchor,RF
11,0.8986,Anchor,RF
12,0.8986,Anchor,RF
13,0.8986,Anchor,RF
14,0.8986,Anchor,RF
15,0.8986,Anchor,RF
16,0.8986,Anchor,RF
17,0.8986,Anchor,RF
18,0.8986,Anchor,RF
19,0.8986,Anchor,RF
20,0.8986,Anchor,RF
21,0.8986,Anchor,RF
22,0.8986,Anchor,RF
23,0.8986,Anchor,RF
24,0.8986,Anchor,RF
25,0.8986,Anchor,RF
1,0.7585,LORE,RF
2,0.8309,LORE,RF
3,0.8502,LORE,RF
4,0.8551,LORE,RF
5,0.8647,LORE,RF
6,0.8454,LORE,RF
7,0.8454,LORE,RF
8,0.8454,LORE,RF
9,0.8454,LORE,RF
10,0.8454,LORE,RF
11,0.8454,LORE,RF
12,0.8454,LORE,RF
13,0.8454,LORE,RF
14,0.8454,LORE,RF
15,0.8454,LORE,RF
16,0.8454,LORE,RF
17,0.8454,LORE,RF
18,0.8454,LORE,RF
19,0.8454,LORE,RF
20,0.8454,LORE,RF
21,0.8454,LORE,RF
22,0.8454,LORE,RF
23,0.8454,LORE,RF
24,0.8454,LORE,RF
25,0.8454,LORE,RF
1,0.5217,SHAP,SVC
2,0.5217,SHAP,SVC
3,0.5217,SHAP,SVC
4,0.5217,SHAP,SVC
5,0.6618,SHAP,SVC
6,0.5411,SHAP,SVC
7,0.6232,SHAP,SVC
8,0.6763,SHAP,SVC
9,0.7681,SHAP,SVC
10,0.8696,SHAP,SVC
11,0.8696,SHAP,SVC
12,0.8986,SHAP,SVC
13,0.9227,SHAP,SVC
14,0.8889,SHAP,SVC
15,0.9179,SHAP,SVC
16,0.9034,SHAP,SVC
17,0.8937,SHAP,SVC
18,0.913,SHAP,SVC
19,0.9324,SHAP,SVC
20,0.942,SHAP,SVC
21,0.942,SHAP,SVC
22,0.9372,SHAP,SVC
23,0.971,SHAP,SVC
24,0.9565,SHAP,SVC
25,1,SHAP,SVC
1,0.5217,LIME,SVC
2,0.5217,LIME,SVC
3,0.5217,LIME,SVC
4,0.5217,LIME,SVC
5,0.5217,LIME,SVC
6,0.5217,LIME,SVC
7,0.5217,LIME,SVC
8,0.4783,LIME,SVC
9,0.5217,LIME,SVC
10,0.4783,LIME,SVC
11,0.5217,LIME,SVC
12,0.4783,LIME,SVC
13,0.4783,LIME,SVC
14,0.657,LIME,SVC
15,0.8696,LIME,SVC
16,0.8406,LIME,SVC
17,0.8841,LIME,SVC
18,0.8841,LIME,SVC
19,0.8551,LIME,SVC
20,0.8744,LIME,SVC
21,0.8986,LIME,SVC
22,0.9179,LIME,SVC
23,0.9469,LIME,SVC
24,0.9855,LIME,SVC
25,1,LIME,SVC
1,0.5217,Anchor,SVC
2,0.5217,Anchor,SVC
3,0.4783,Anchor,SVC
4,0.4783,Anchor,SVC
5,0.4783,Anchor,SVC
6,0.4783,Anchor,SVC
7,0.4783,Anchor,SVC
8,0.4783,Anchor,SVC
9,0.4783,Anchor,SVC
10,0.4783,Anchor,SVC
11,0.4783,Anchor,SVC
12,0.4783,Anchor,SVC
13,0.4783,Anchor,SVC
14,0.4783,Anchor,SVC
15,0.4783,Anchor,SVC
16,0.4783,Anchor,SVC
17,0.4783,Anchor,SVC
18,0.4783,Anchor,SVC
19,0.4783,Anchor,SVC
20,0.4783,Anchor,SVC
21,0.4783,Anchor,SVC
22,0.4783,Anchor,SVC
23,0.4783,Anchor,SVC
24,0.4783,Anchor,SVC
25,0.4783,Anchor,SVC
1,0.4783,LORE,SVC
2,0.5217,LORE,SVC
3,0.5217,LORE,SVC
4,0.5217,LORE,SVC
5,0.5217,LORE,SVC
6,0.5217,LORE,SVC
7,0.5217,LORE,SVC
8,0.5217,LORE,SVC
9,0.5217,LORE,SVC
10,0.5217,LORE,SVC
11,0.5217,LORE,SVC
12,0.5217,LORE,SVC
13,0.5217,LORE,SVC
14,0.5217,LORE,SVC
15,0.5217,LORE,SVC
16,0.5217,LORE,SVC
17,0.5217,LORE,SVC
18,0.5217,LORE,SVC
19,0.5217,LORE,SVC
20,0.5217,LORE,SVC
21,0.5217,LORE,SVC
22,0.5217,LORE,SVC
23,0.5217,LORE,SVC
24,0.5217,LORE,SVC
25,0.5217,LORE,SVC
1,0.5749,SHAP,MLP
2,0.7198,SHAP,MLP
3,0.6957,SHAP,MLP
4,0.5894,SHAP,MLP
5,0.5604,SHAP,MLP
6,0.8068,SHAP,MLP
7,0.8937,SHAP,MLP
8,0.8841,SHAP,MLP
9,0.8986,SHAP,MLP
10,0.9372,SHAP,MLP
11,0.9275,SHAP,MLP
12,0.8937,SHAP,MLP
13,0.8647,SHAP,MLP
14,0.8841,SHAP,MLP
15,0.8744,SHAP,MLP
16,0.8357,SHAP,MLP
17,0.8986,SHAP,MLP
18,0.9372,SHAP,MLP
19,0.9034,SHAP,MLP
20,0.9179,SHAP,MLP
21,0.9034,SHAP,MLP
22,0.9179,SHAP,MLP
23,0.9807,SHAP,MLP
24,0.9855,SHAP,MLP
25,1,SHAP,MLP
1,0.43,LIME,MLP
2,0.43,LIME,MLP
3,0.5652,LIME,MLP
4,0.57,LIME,MLP
5,0.599,LIME,MLP
6,0.43,LIME,MLP
7,0.57,LIME,MLP
8,0.5797,LIME,MLP
9,0.57,LIME,MLP
