Number of removed features,Robustness score,Interpreter,Model
1,0.9889,SHAP,RF
2,0.9444,SHAP,RF
3,0.9667,SHAP,RF
4,0.9222,SHAP,RF
5,0.9222,SHAP,RF
6,0.8778,SHAP,RF
7,0.9111,SHAP,RF
8,0.9444,SHAP,RF
9,0.9889,SHAP,RF
10,0.9667,SHAP,RF
11,0.9667,SHAP,RF
12,0.9889,SHAP,RF
13,1,SHAP,RF
14,1,SHAP,RF
15,1,SHAP,RF
16,1,SHAP,RF
17,1,SHAP,RF
18,1,SHAP,RF
19,1,SHAP,RF
20,1,SHAP,RF
21,1,SHAP,RF
22,1,SHAP,RF
23,1,SHAP,RF
24,1,SHAP,RF
25,1,SHAP,RF
1,0.9333,LIME,RF
2,0.9333,LIME,RF
3,0.9,LIME,RF
4,0.8889,LIME,RF
5,0.9111,LIME,RF
6,0.8556,LIME,RF
7,0.8667,LIME,RF
8,0.9,LIME,RF
9,0.8111,LIME,RF
10,0.8111,LIME,RF
11,0.8,LIME,RF
12,0.7889,LIME,RF
13,0.7444,LIME,RF
14,0.6889,LIME,RF
15,0.7,LIME,RF
16,0.7444,LIME,RF
17,0.8333,LIME,RF
18,0.8556,LIME,RF
19,0.8778,LIME,RF
20,0.8889,LIME,RF
21,0.9556,LIME,RF
22,0.9778,LIME,RF
23,0.9889,LIME,RF
24,1,LIME,RF
25,1,LIME,RF
1,0.9,Anchor,RF
2,0.7889,Anchor,RF
3,0.7556,Anchor,RF
4,0.7111,Anchor,RF
5,0.7111,Anchor,RF
6,0.7,Anchor,RF
7,0.7111,Anchor,RF
8,0.7111,Anchor,RF
9,0.7111,Anchor,RF
10,0.7111,Anchor,RF
11,0.7111,Anchor,RF
12,0.7111,Anchor,RF
13,0.7111,Anchor,RF
14,0.7111,Anchor,RF
15,0.7111,Anchor,RF
16,0.7111,Anchor,RF
17,0.7111,Anchor,RF
18,0.7111,Anchor,RF
19,0.7111,Anchor,RF
20,0.7111,Anchor,RF
21,0.7111,Anchor,RF
22,0.7111,Anchor,RF
23,0.7111,Anchor,RF
24,0.7111,Anchor,RF
25,0.7111,Anchor,RF
1,0.9,LORE,RF
2,0.8333,LORE,RF
3,0.7889,LORE,RF
4,0.7778,LORE,RF
5,0.7778,LORE,RF
6,0.8,LORE,RF
7,0.8,LORE,RF
8,0.7889,LORE,RF
9,0.7889,LORE,RF
10,0.7889,LORE,RF
