Number of removed features,validity score,Interpreter,Model
1,0.14,SHAP,RF
2,0.16,SHAP,RF
3,0.2,SHAP,RF
4,0.4,SHAP,RF
5,0.58,SHAP,RF
6,0.64,SHAP,RF
7,0.8,SHAP,RF
8,0.94,SHAP,RF
9,0.98,SHAP,RF
10,0.98,SHAP,RF
11,0.98,SHAP,RF
12,0.98,SHAP,RF
13,1,SHAP,RF
14,1,SHAP,RF
15,1,SHAP,RF
16,1,SHAP,RF
17,1,SHAP,RF
18,1,SHAP,RF
19,1,SHAP,RF
20,1,SHAP,RF
21,1,SHAP,RF
22,1,SHAP,RF
23,1,SHAP,RF
24,1,SHAP,RF
25,1,SHAP,RF
1,0,LIME,RF
2,0.02,LIME,RF
3,0.1,LIME,RF
4,0.12,LIME,RF
5,0.18,LIME,RF
6,0.22,LIME,RF
7,0.24,LIME,RF
8,0.24,LIME,RF
9,0.26,LIME,RF
10,0.26,LIME,RF
11,0.34,LIME,RF
12,0.34,LIME,RF
13,0.4,LIME,RF
14,0.58,LIME,RF
15,0.84,LIME,RF
16,0.94,LIME,RF
17,1,LIME,RF
18,1,LIME,RF
19,1,LIME,RF
20,1,LIME,RF
21,1,LIME,RF
22,1,LIME,RF
23,1,LIME,RF
24,1,LIME,RF
25,1,LIME,RF
1,0.24,Anchor,RF
2,0.36,Anchor,RF
3,0.44,Anchor,RF
4,0.46,Anchor,RF
5,0.46,Anchor,RF
6,0.46,Anchor,RF
7,0.46,Anchor,RF
8,0.46,Anchor,RF
9,0.46,Anchor,RF
10,0.46,Anchor,RF
11,0.46,Anchor,RF
12,0.46,Anchor,RF
13,0.46,Anchor,RF
14,0.46,Anchor,RF
15,0.46,Anchor,RF
16,0.46,Anchor,RF
17,0.46,Anchor,RF
18,0.46,Anchor,RF
19,0.46,Anchor,RF
20,0.46,Anchor,RF
21,0.46,Anchor,RF
22,0.46,Anchor,RF
23,0.46,Anchor,RF
24,0.46,Anchor,RF
25,0.46,Anchor,RF
1,0.32,LORE,RF
2,0.38,LORE,RF
3,0.42,LORE,RF
4,0.42,LORE,RF
5,0.42,LORE,RF
6,0.42,LORE,RF
7,0.42,LORE,RF
8,0.42,LORE,RF
9,0.42,LORE,RF
10,0.42,LORE,RF
11,0.42,LORE,RF
12,0.42,LORE,RF
13,0.42,LORE,RF
14,0.42,LORE,RF
15,0.42,LORE,RF
16,0.42,LORE,RF
17,0.42,LORE,RF
18,0.42,LORE,RF
19,0.42,LORE,RF
20,0.42,LORE,RF
21,0.42,LORE,RF
22,0.42,LORE,RF
23,0.42,LORE,RF
24,0.42,LORE,RF
25,0.42,LORE,RF
1,0.9722,SHAP,SVC
2,0.9722,SHAP,SVC
3,1,SHAP,SVC
4,1,SHAP,SVC
5,1,SHAP,SVC
6,1,SHAP,SVC
7,1,SHAP,SVC
8,1,SHAP,SVC
9,1,SHAP,SVC
10,1,SHAP,SVC
11,1,SHAP,SVC
12,1,SHAP,SVC
13,1,SHAP,SVC
14,1,SHAP,SVC
15,1,SHAP,SVC
16,1,SHAP,SVC
17,1,SHAP,SVC
18,1,SHAP,SVC
19,1,SHAP,SVC
20,1,SHAP,SVC
21,1,SHAP,SVC
22,1,SHAP,SVC
23,1,SHAP,SVC
24,1,SHAP,SVC
25,1,SHAP,SVC
1,0.9167,LIME,SVC
2,1,LIME,SVC
3,1,LIME,SVC
4,1,LIME,SVC
5,1,LIME,SVC
6,1,LIME,SVC
7,1,LIME,SVC
8,1,LIME,SVC
9,1,LIME,SVC
10,1,LIME,SVC
11,1,LIME,SVC
12,1,LIME,SVC
13,1,LIME,SVC
14,0.9722,LIME,SVC
15,0.9722,LIME,SVC
16,0.9722,LIME,SVC
17,0.9722,LIME,SVC
18,0.9722,LIME,SVC
19,0.9722,LIME,SVC
20,1,LIME,SVC
21,1,LIME,SVC
22,1,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
1,1,Anchor,SVC
2,1,Anchor,SVC
3,1,Anchor,SVC
4,1,Anchor,SVC
5,1,Anchor,SVC
6,1,Anchor,SVC
7,1,Anchor,SVC
8,1,Anchor,SVC
9,1,Anchor,SVC
10,1,Anchor,SVC
11,1,Anchor,SVC
12,1,Anchor,SVC
13,1,Anchor,SVC
14,1,Anchor,SVC
15,1,Anchor,SVC
16,1,Anchor,SVC
17,1,Anchor,SVC
18,1,Anchor,SVC
19,1,Anchor,SVC
20,1,Anchor,SVC
21,1,Anchor,SVC
22,1,Anchor,SVC
23,1,Anchor,SVC
24,1,Anchor,SVC
25,1,Anchor,SVC
1,0.9167,LORE,SVC
2,1,LORE,SVC
3,1,LORE,SVC
4,1,LORE,SVC
5,1,LORE,SVC
6,1,LORE,SVC
7,1,LORE,SVC
8,1,LORE,SVC
9,1,LORE,SVC
10,1,LORE,SVC
11,1,LORE,SVC
12,1,LORE,SVC
13,1,LORE,SVC
14,1,LORE,SVC
