Number of reserved features,Faithfulness score,Interpreter,Model
1,0.8898,SHAP,RF
2,0.9224,SHAP,RF
3,0.9061,SHAP,RF
4,0.3265,SHAP,RF
5,0.3265,SHAP,RF
6,0.3265,SHAP,RF
7,0.3265,SHAP,RF
8,0.3265,SHAP,RF
9,0.3265,SHAP,RF
10,0.3265,SHAP,RF
11,0.351,SHAP,RF
12,0.3265,SHAP,RF
13,0.3592,SHAP,RF
14,0.3306,SHAP,RF
15,0.3837,SHAP,RF
16,0.6735,SHAP,RF
17,0.5837,SHAP,RF
18,0.4041,SHAP,RF
19,0.7837,SHAP,RF
20,0.9347,SHAP,RF
21,0.9388,SHAP,RF
22,0.9633,SHAP,RF
23,0.9755,SHAP,RF
24,0.9837,SHAP,RF
25,0.9837,SHAP,RF
26,0.9878,SHAP,RF
27,0.9959,SHAP,RF
28,0.9837,SHAP,RF
29,0.9959,SHAP,RF
30,0.9959,SHAP,RF
31,0.9959,SHAP,RF
32,0.9959,SHAP,RF
33,1,SHAP,RF
34,1,SHAP,RF
1,0.8939,LIME,RF
2,0.9143,LIME,RF
3,0.9061,LIME,RF
4,0.9429,LIME,RF
5,0.9714,LIME,RF
6,0.9755,LIME,RF
7,0.9592,LIME,RF
8,0.9714,LIME,RF
9,0.9673,LIME,RF
10,0.9714,LIME,RF
11,0.9592,LIME,RF
12,0.9347,LIME,RF
13,0.9469,LIME,RF
14,0.9469,LIME,RF
15,0.951,LIME,RF
16,0.9673,LIME,RF
17,0.9673,LIME,RF
18,0.9592,LIME,RF
19,0.9673,LIME,RF
20,0.9755,LIME,RF
21,0.9796,LIME,RF
22,0.9796,LIME,RF
23,0.9918,LIME,RF
24,0.9878,LIME,RF
25,0.9918,LIME,RF
26,0.9878,LIME,RF
27,0.9796,LIME,RF
28,0.9918,LIME,RF
29,0.9837,LIME,RF
30,0.9837,LIME,RF
31,0.9959,LIME,RF
32,0.9959,LIME,RF
33,1,LIME,RF
34,1,LIME,RF
1,0.7143,Anchor,RF
2,0.8245,Anchor,RF
3,0.7592,Anchor,RF
4,0.8898,Anchor,RF
5,0.9102,Anchor,RF
6,0.9102,Anchor,RF
7,0.9224,Anchor,RF
8,0.9265,Anchor,RF
9,0.9265,Anchor,RF
10,0.9265,Anchor,RF
11,0.9265,Anchor,RF
12,0.9265,Anchor,RF
13,0.9265,Anchor,RF
14,0.9265,Anchor,RF
15,0.9265,Anchor,RF
16,0.9265,Anchor,RF
17,0.9265,Anchor,RF
18,0.9265,Anchor,RF
19,0.9265,Anchor,RF
20,0.9265,Anchor,RF
21,0.9265,Anchor,RF
22,0.9265,Anchor,RF
23,0.9265,Anchor,RF
24,0.9265,Anchor,RF
25,0.9265,Anchor,RF
26,0.9265,Anchor,RF
27,0.9265,Anchor,RF
28,0.9265,Anchor,RF
29,0.9265,Anchor,RF
30,0.9265,Anchor,RF
31,0.9265,Anchor,RF
32,0.9265,Anchor,RF
33,0.9265,Anchor,RF
34,0.9265,Anchor,RF
1,0.3265,LORE,RF
2,0.3265,LORE,RF
3,0.898,LORE,RF
4,0.9265,LORE,RF
5,0.5224,LORE,RF
6,0.3959,LORE,RF
7,0.4571,LORE,RF
8,0.5184,LORE,RF
9,0.3388,LORE,RF
10,0.3388,LORE,RF
11,0.3388,LORE,RF
12,0.3388,LORE,RF
13,0.3388,LORE,RF
14,0.3306,LORE,RF
15,0.3306,LORE,RF
16,0.3306,LORE,RF
17,0.3306,LORE,RF
18,0.3306,LORE,RF
19,0.3306,LORE,RF
20,0.3306,LORE,RF
21,0.3306,LORE,RF
22,0.3306,LORE,RF
23,0.3306,LORE,RF
24,0.3306,LORE,RF
25,0.3306,LORE,RF
26,0.3306,LORE,RF
27,0.3306,LORE,RF
28,0.3306,LORE,RF
29,0.3306,LORE,RF
30,0.3306,LORE,RF
31,0.3306,LORE,RF
32,0.3306,LORE,RF
33,0.3306,LORE,RF
34,0.3306,LORE,RF
1,0.3306,SHAP,SVC
2,0.3306,SHAP,SVC
3,0.3306,SHAP,SVC
4,0.3306,SHAP,SVC
5,0.3306,SHAP,SVC
6,0.3306,SHAP,SVC
7,0.3306,SHAP,SVC
8,0.3306,SHAP,SVC
9,0.3306,SHAP,SVC
10,0.3306,SHAP,SVC
11,0.3306,SHAP,SVC
12,0.3306,SHAP,SVC
13,0.3306,SHAP,SVC
14,0.3306,SHAP,SVC
15,0.3306,SHAP,SVC
16,0.3306,SHAP,SVC
17,0.3306,SHAP,SVC
18,0.3306,SHAP,SVC
19,0.3306,SHAP,SVC
20,0.3306,SHAP,SVC
21,0.3306,SHAP,SVC
22,0.3306,SHAP,SVC
23,0.3306,SHAP,SVC
24,0.3306,SHAP,SVC
25,0.3306,SHAP,SVC
26,0.3306,SHAP,SVC
27,0.3143,SHAP,SVC
28,0.3143,SHAP,SVC
29,0.4367,SHAP,SVC
30,0.7388,SHAP,SVC
31,0.7469,SHAP,SVC
32,0.8816,SHAP,SVC
33,0.9796,SHAP,SVC
34,1,SHAP,SVC
1,0.6694,LIME,SVC
2,0.6694,LIME,SVC
3,0.6694,LIME,SVC
4,0.6694,LIME,SVC
5,0.6694,LIME,SVC
6,0.6694,LIME,SVC
7,0.6694,LIME,SVC
8,0.6694,LIME,SVC
9,0.6694,LIME,SVC
10,0.6694,LIME,SVC
11,0.6694,LIME,SVC
12,0.6694,LIME,SVC
13,0.6694,LIME,SVC
14,0.6694,LIME,SVC
15,0.6694,LIME,SVC
16,0.6694,LIME,SVC
17,0.6694,LIME,SVC
18,0.6694,LIME,SVC
19,0.6694,LIME,SVC
20,0.6694,LIME,SVC
21,0.6694,LIME,SVC
22,0.6694,LIME,SVC
23,0.6694,LIME,SVC
24,0.6694,LIME,SVC
25,0.3306,LIME,SVC
26,0.3306,LIME,SVC
27,0.3306,LIME,SVC
28,0.3306,LIME,SVC
29,0.3306,LIME,SVC
30,0.3306,LIME,SVC
31,0.3306,LIME,SVC
32,0.3306,LIME,SVC
33,0.3306,LIME,SVC
34,1,LIME,SVC
1,0.3306,Anchor,SVC
2,0.3306,Anchor,SVC
3,0.3306,Anchor,SVC
4,0.3306,Anchor,SVC
5,0.3306,Anchor,SVC
6,0.3306,Anchor,SVC
7,0.3306,Anchor,SVC
8,0.3306,Anchor,SVC
9,0.3306,Anchor,SVC
10,0.3306,Anchor,SVC
11,0.3306,Anchor,SVC
12,0.3306,Anchor,SVC
13,0.3306,Anchor,SVC
14,0.3306,Anchor,SVC
15,0.3306,Anchor,SVC
16,0.3306,Anchor,SVC
17,0.3306,Anchor,SVC
18,0.3306,Anchor,SVC
19,0.3306,Anchor,SVC
20,0.3306,Anchor,SVC
21,0.3306,Anchor,SVC
22,0.3306,Anchor,SVC
23,0.3306,Anchor,SVC
24,0.3306,Anchor,SVC
25,0.3306,Anchor,SVC
26,0.3306,Anchor,SVC
27,0.3306,Anchor,SVC
28,0.3306,Anchor,SVC
29,0.3306,Anchor,SVC
30,0.3306,Anchor,SVC
31,0.3306,Anchor,SVC
32,0.3306,Anchor,SVC
33,0.3306,Anchor,SVC
34,0.3306,Anchor,SVC
1,0.6694,LORE,SVC
2,0.6694,LORE,SVC
3,0.6694,LORE,SVC
4,0.6694,LORE,SVC
5,0.6694,LORE,SVC
6,0.6694,LORE,SVC
7,0.6694,LORE,SVC
8,0.6694,LORE,SVC
