Number of removed features,Robustness score,Interpreter,Model
1,1,SHAP,RF
2,1,SHAP,RF
3,0.9906,SHAP,RF
4,0.9717,SHAP,RF
5,0.9811,SHAP,RF
6,0.9434,SHAP,RF
7,0.9434,SHAP,RF
8,0.9434,SHAP,RF
9,0.934,SHAP,RF
10,0.9623,SHAP,RF
11,0.9717,SHAP,RF
12,0.9245,SHAP,RF
13,0.9434,SHAP,RF
14,0.9151,SHAP,RF
15,0.9245,SHAP,RF
16,0.9151,SHAP,RF
17,0.8679,SHAP,RF
18,0.8019,SHAP,RF
19,0.7547,SHAP,RF
20,0.7264,SHAP,RF
21,0.6887,SHAP,RF
22,0.7453,SHAP,RF
23,0.8019,SHAP,RF
24,0.9151,SHAP,RF
25,0.9434,SHAP,RF
26,0.9906,SHAP,RF
27,1,SHAP,RF
28,1,SHAP,RF
29,1,SHAP,RF
30,1,SHAP,RF
31,1,SHAP,RF
32,1,SHAP,RF
33,1,SHAP,RF
34,1,SHAP,RF
1,1,LIME,RF
2,0.9906,LIME,RF
3,1,LIME,RF
4,0.9906,LIME,RF
5,0.9811,LIME,RF
6,0.9623,LIME,RF
7,0.9623,LIME,RF
8,0.9717,LIME,RF
9,0.9811,LIME,RF
10,0.9717,LIME,RF
11,0.9811,LIME,RF
12,0.9717,LIME,RF
13,0.9623,LIME,RF
14,0.9151,LIME,RF
15,0.8774,LIME,RF
16,0.8396,LIME,RF
17,0.7736,LIME,RF
18,0.6887,LIME,RF
19,0.6132,LIME,RF
20,0.6415,LIME,RF
21,0.5943,LIME,RF
22,0.6604,LIME,RF
23,0.7736,LIME,RF
24,0.8113,LIME,RF
25,0.8585,LIME,RF
26,0.9151,LIME,RF
27,0.9623,LIME,RF
28,0.9811,LIME,RF
29,0.9906,LIME,RF
30,0.9906,LIME,RF
31,1,LIME,RF
32,1,LIME,RF
33,1,LIME,RF
34,1,LIME,RF
1,0.9906,Anchor,RF
2,0.9528,Anchor,RF
3,0.9434,Anchor,RF
4,0.9528,Anchor,RF
5,0.9528,Anchor,RF
6,0.9528,Anchor,RF
7,0.9528,Anchor,RF
8,0.9528,Anchor,RF
9,0.9528,Anchor,RF
10,0.9528,Anchor,RF
11,0.9528,Anchor,RF
12,0.9528,Anchor,RF
13,0.9528,Anchor,RF
14,0.9528,Anchor,RF
15,0.9528,Anchor,RF
16,0.9528,Anchor,RF
17,0.9528,Anchor,RF
18,0.9528,Anchor,RF
19,0.9528,Anchor,RF
20,0.9528,Anchor,RF
21,0.9528,Anchor,RF
22,0.9528,Anchor,RF
23,0.9528,Anchor,RF
24,0.9528,Anchor,RF
25,0.9528,Anchor,RF
26,0.9528,Anchor,RF
27,0.9528,Anchor,RF
28,0.9528,Anchor,RF
29,0.9528,Anchor,RF
30,0.9528,Anchor,RF
31,0.9528,Anchor,RF
32,0.9528,Anchor,RF
33,0.9528,Anchor,RF
34,0.9528,Anchor,RF
1,0.9906,LORE,RF
2,0.9811,LORE,RF
3,0.9811,LORE,RF
4,0.9717,LORE,RF
5,0.9906,LORE,RF
6,0.9906,LORE,RF
7,0.9906,LORE,RF
8,0.9906,LORE,RF
9,0.9906,LORE,RF
10,0.9906,LORE,RF
11,0.9811,LORE,RF
12,0.9906,LORE,RF
13,0.9906,LORE,RF
14,0.9906,LORE,RF
15,0.9906,LORE,RF
16,0.9906,LORE,RF
17,0.9906,LORE,RF
18,0.9906,LORE,RF
19,0.9906,LORE,RF
20,0.9906,LORE,RF
21,0.9906,LORE,RF
22,0.9906,LORE,RF
23,0.9906,LORE,RF
24,0.9906,LORE,RF
25,0.9906,LORE,RF
26,0.9906,LORE,RF
27,0.9906,LORE,RF
28,0.9906,LORE,RF
29,0.9906,LORE,RF
30,0.9906,LORE,RF
31,0.9906,LORE,RF
32,0.9906,LORE,RF
33,0.9906,LORE,RF
34,0.9906,LORE,RF
1,1,SHAP,SVC
2,1,SHAP,SVC
3,1,SHAP,SVC
4,1,SHAP,SVC
5,1,SHAP,SVC
6,1,SHAP,SVC
7,1,SHAP,SVC
8,1,SHAP,SVC
9,1,SHAP,SVC
10,1,SHAP,SVC
11,1,SHAP,SVC
12,1,SHAP,SVC
13,1,SHAP,SVC
14,1,SHAP,SVC
15,1,SHAP,SVC
16,1,SHAP,SVC
17,1,SHAP,SVC
18,1,SHAP,SVC
19,1,SHAP,SVC
20,1,SHAP,SVC
21,1,SHAP,SVC
22,1,SHAP,SVC
23,1,SHAP,SVC
24,1,SHAP,SVC
25,1,SHAP,SVC
26,1,SHAP,SVC
27,1,SHAP,SVC
28,1,SHAP,SVC
29,1,SHAP,SVC
30,1,SHAP,SVC
31,1,SHAP,SVC
32,1,SHAP,SVC
33,1,SHAP,SVC
34,1,SHAP,SVC
1,1,LIME,SVC
2,1,LIME,SVC
3,1,LIME,SVC
4,1,LIME,SVC
5,1,LIME,SVC
6,1,LIME,SVC
7,1,LIME,SVC
8,1,LIME,SVC
9,1,LIME,SVC
10,1,LIME,SVC
11,1,LIME,SVC
12,1,LIME,SVC
13,1,LIME,SVC
14,1,LIME,SVC
15,1,LIME,SVC
16,1,LIME,SVC
17,1,LIME,SVC
18,1,LIME,SVC
19,1,LIME,SVC
20,1,LIME,SVC
21,1,LIME,SVC
22,1,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
26,1,LIME,SVC
27,1,LIME,SVC
28,1,LIME,SVC
29,1,LIME,SVC
30,1,LIME,SVC
31,1,LIME,SVC
32,1,LIME,SVC
33,1,LIME,SVC
34,1,LIME,SVC
