Number of removed features,Validity score,Interpreter,Model
1,0,SHAP,RF
2,0,SHAP,RF
3,0,SHAP,RF
4,0.0143,SHAP,RF
5,0,SHAP,RF
6,0,SHAP,RF
7,0.0143,SHAP,RF
8,0.0286,SHAP,RF
9,0.0286,SHAP,RF
10,0.0286,SHAP,RF
11,0.0286,SHAP,RF
12,0.0429,SHAP,RF
13,0.0714,SHAP,RF
14,0.1,SHAP,RF
15,0.1143,SHAP,RF
16,0.1571,SHAP,RF
17,0.2143,SHAP,RF
18,0.2857,SHAP,RF
19,0.4,SHAP,RF
20,0.4857,SHAP,RF
21,0.6571,SHAP,RF
22,0.8143,SHAP,RF
23,0.9,SHAP,RF
24,0.9857,SHAP,RF
25,1,SHAP,RF
26,1,SHAP,RF
27,1,SHAP,RF
28,1,SHAP,RF
29,1,SHAP,RF
30,1,SHAP,RF
31,1,SHAP,RF
32,1,SHAP,RF
33,1,SHAP,RF
34,1,SHAP,RF
1,0.0143,LIME,RF
2,0.0143,LIME,RF
3,0,LIME,RF
4,0,LIME,RF
5,0,LIME,RF
6,0,LIME,RF
7,0,LIME,RF
8,0.0143,LIME,RF
9,0.0143,LIME,RF
10,0.0143,LIME,RF
11,0.0143,LIME,RF
12,0.0143,LIME,RF
13,0.0143,LIME,RF
14,0.0429,LIME,RF
15,0.1286,LIME,RF
16,0.1857,LIME,RF
17,0.2286,LIME,RF
18,0.2571,LIME,RF
19,0.4,LIME,RF
20,0.5143,LIME,RF
21,0.5857,LIME,RF
22,0.6714,LIME,RF
23,0.8571,LIME,RF
24,0.8571,LIME,RF
25,0.9429,LIME,RF
26,0.9714,LIME,RF
27,0.9857,LIME,RF
28,1,LIME,RF
29,1,LIME,RF
30,1,LIME,RF
31,1,LIME,RF
32,1,LIME,RF
33,1,LIME,RF
34,1,LIME,RF
1,0.0143,Anchor,RF
2,0.0143,Anchor,RF
3,0.0143,Anchor,RF
4,0.0286,Anchor,RF
5,0.0286,Anchor,RF
6,0.0286,Anchor,RF
7,0.0286,Anchor,RF
8,0.0286,Anchor,RF
9,0.0286,Anchor,RF
10,0.0286,Anchor,RF
11,0.0286,Anchor,RF
12,0.0286,Anchor,RF
13,0.0286,Anchor,RF
14,0.0286,Anchor,RF
15,0.0286,Anchor,RF
16,0.0286,Anchor,RF
17,0.0286,Anchor,RF
18,0.0286,Anchor,RF
19,0.0286,Anchor,RF
20,0.0286,Anchor,RF
21,0.0286,Anchor,RF
22,0.0286,Anchor,RF
23,0.0286,Anchor,RF
24,0.0286,Anchor,RF
25,0.0286,Anchor,RF
26,0.0286,Anchor,RF
27,0.0286,Anchor,RF
28,0.0286,Anchor,RF
29,0.0286,Anchor,RF
30,0.0286,Anchor,RF
31,0.0286,Anchor,RF
32,0.0286,Anchor,RF
33,0.0286,Anchor,RF
34,0.0286,Anchor,RF
1,0.0143,LORE,RF
2,0.0143,LORE,RF
3,0.0143,LORE,RF
4,0.0143,LORE,RF
5,0.0286,LORE,RF
6,0.0286,LORE,RF
7,0.0286,LORE,RF
8,0.0286,LORE,RF
9,0.0286,LORE,RF
10,0.0286,LORE,RF
11,0.0429,LORE,RF
12,0.0286,LORE,RF
13,0.0286,LORE,RF
14,0.0286,LORE,RF
15,0.0286,LORE,RF
16,0.0286,LORE,RF
17,0.0286,LORE,RF
18,0.0286,LORE,RF
19,0.0286,LORE,RF
20,0.0286,LORE,RF
21,0.0286,LORE,RF
22,0.0286,LORE,RF
23,0.0286,LORE,RF
24,0.0286,LORE,RF
25,0.0286,LORE,RF
26,0.0286,LORE,RF
27,0.0286,LORE,RF
28,0.0286,LORE,RF
29,0.0286,LORE,RF
30,0.0286,LORE,RF
31,0.0286,LORE,RF
32,0.0286,LORE,RF
33,0.0286,LORE,RF
34,0.0286,LORE,RF
1,1,SHAP,SVC
2,1,SHAP,SVC
3,1,SHAP,SVC
4,1,SHAP,SVC
5,1,SHAP,SVC
6,1,SHAP,SVC
7,1,SHAP,SVC
8,1,SHAP,SVC
9,1,SHAP,SVC
10,1,SHAP,SVC
11,1,SHAP,SVC
12,1,SHAP,SVC
13,1,SHAP,SVC
14,1,SHAP,SVC
15,1,SHAP,SVC
16,1,SHAP,SVC
17,1,SHAP,SVC
18,1,SHAP,SVC
19,1,SHAP,SVC
20,1,SHAP,SVC
21,1,SHAP,SVC
22,1,SHAP,SVC
23,1,SHAP,SVC
24,1,SHAP,SVC
25,1,SHAP,SVC
26,1,SHAP,SVC
27,1,SHAP,SVC
28,1,SHAP,SVC
29,1,SHAP,SVC
30,1,SHAP,SVC
31,1,SHAP,SVC
32,1,SHAP,SVC
33,1,SHAP,SVC
34,1,SHAP,SVC
1,1,LIME,SVC
2,1,LIME,SVC
3,1,LIME,SVC
4,1,LIME,SVC
5,1,LIME,SVC
6,1,LIME,SVC
7,1,LIME,SVC
8,1,LIME,SVC
9,1,LIME,SVC
10,1,LIME,SVC
11,1,LIME,SVC
12,1,LIME,SVC
13,1,LIME,SVC
14,1,LIME,SVC
15,1,LIME,SVC
16,1,LIME,SVC
17,1,LIME,SVC
18,1,LIME,SVC
19,1,LIME,SVC
20,1,LIME,SVC
21,1,LIME,SVC
22,1,LIME,SVC
23,1,LIME,SVC
24,1,LIME,SVC
25,1,LIME,SVC
26,1,LIME,SVC
27,1,LIME,SVC
28,1,LIME,SVC
29,1,LIME,SVC
30,1,LIME,SVC
31,1,LIME,SVC
32,1,LIME,SVC
33,1,LIME,SVC
34,1,LIME,SVC
1,1,Anchor,SVC
2,1,Anchor,SVC
3,1,Anchor,SVC
4,1,Anchor,SVC
5,1,Anchor,SVC
6,1,Anchor,SVC
7,1,Anchor,SVC
8,1,Anchor,SVC
9,1,Anchor,SVC
10,1,Anchor,SVC
11,1,Anchor,SVC
12,1,Anchor,SVC
13,1,Anchor,SVC
14,1,Anchor,SVC
15,1,Anchor,SVC
16,1,Anchor,SVC
17,1,Anchor,SVC
18,1,Anchor,SVC
19,1,Anchor,SVC
20,1,Anchor,SVC
21,1,Anchor,SVC
22,1,Anchor,SVC
23,1,Anchor,SVC
24,1,Anchor,SVC
25,1,Anchor,SVC
26,1,Anchor,SVC
27,1,Anchor,SVC
28,1,Anchor,SVC
29,1,Anchor,SVC
30,1,Anchor,SVC
31,1,Anchor,SVC
32,1,Anchor,SVC
33,1,Anchor,SVC
34,1,Anchor,SVC
1,1,LORE,SVC
2,1,LORE,SVC
3,1,LORE,SVC
4,1,LORE,SVC
5,1,LORE,SVC
6,1,LORE,SVC
7,1,LORE,SVC
8,1,LORE,SVC
9,1,LORE,SVC
10,1,LORE,SVC
11,1,LORE,SVC
12,1,LORE,SVC
13,1,LORE,SVC
14,1,LORE,SVC
15,1,LORE,SVC
16,1,LORE,SVC
17,1,LORE,SVC
18,1,LORE,SVC
19,1,LORE,SVC
20,1,LORE,SVC
21,1,LORE,SVC
22,1,LORE,SVC
23,1,LORE,SVC
24,1,LORE,SVC
25,1,LORE,SVC
26,1,LORE,SVC
27,1,LORE,SVC
28,1,LORE,SVC
29,1,LORE,SVC
30,1,LORE,SVC
31,1,LORE,SVC
32,1,LORE,SVC
33,1,LORE,SVC
34,1,LORE,SVC
1,0.8056,SHAP,MLP
2,0.75,SHAP,MLP
3,0.7778,SHAP,MLP
4,0.8333,SHAP,MLP
5,0.7222,SHAP,MLP
6,0.7778,SHAP,MLP
7,0.8333,SHAP,MLP
8,0.75,SHAP,MLP
9,0.75,SHAP,MLP
10,0.7778,SHAP,MLP
11,0.8056,SHAP,MLP
12,0.7778,SHAP,MLP
13,0.8611,SHAP,MLP
14,0.8611,SHAP,MLP
15,0.8333,SHAP,MLP
16,0.8611,SHAP,MLP
17,0.9167,SHAP,MLP
18,0.8889,SHAP,MLP
19,1,SHAP,MLP
20,1,SHAP,MLP
21,1,SHAP,MLP
22,1,SHAP,MLP
23,1,SHAP,MLP
24,1,SHAP,MLP
25,1,SHAP,MLP
26,1,SHAP,MLP
27,1,SHAP,MLP
28,1,SHAP,MLP
29,1,SHAP,MLP
30,1,SHAP,MLP
31,1,SHAP,MLP
32,1,SHAP,MLP
33,1,SHAP,MLP
34,1,SHAP,MLP
1,0.8056,LIME,MLP
2,0.6389,LIME,MLP
3,0.6389,LIME,MLP
4,0.6389,LIME,MLP
5,0.6389,LIME,MLP
6,0.75,LIME,MLP
7,0.8333,LIME,MLP
8,0.8889,LIME,MLP
9,0.8611,LIME,MLP
10,0.8889,LIME,MLP
11,0.8889,LIME,MLP
12,0.8611,LIME,MLP
13,0.8889,LIME,MLP
14,0.8889,LIME,MLP
15,0.9167,LIME,MLP
16,0.9444,LIME,MLP
17,0.9444,LIME,MLP
18,1,LIME,MLP
19,1,LIME,MLP
20,1,LIME,MLP
21,1,LIME,MLP
22,1,LIME,MLP
23,1,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
26,1,LIME,MLP
27,1,LIME,MLP
28,1,LIME,MLP
29,1,LIME,MLP
30,1,LIME,MLP
31,1,LIME,MLP
32,1,LIME,MLP
33,1,LIME,MLP
34,1,LIME,MLP
1,0.4167,Anchor,MLP
2,0.5833,Anchor,MLP
3,0.5278,Anchor,MLP
4,0.5,Anchor,MLP
5,0.5,Anchor,MLP
6,0.5,Anchor,MLP
7,0.5,Anchor,MLP
8,0.5,Anchor,MLP
9,0.5,Anchor,MLP
10,0.5,Anchor,MLP
11,0.5,Anchor,MLP
12,0.5,Anchor,MLP
13,0.5,Anchor,MLP
14,0.5,Anchor,MLP
15,0.5,Anchor,MLP
16,0.5,Anchor,MLP
17,0.5,Anchor,MLP
18,0.5,Anchor,MLP
19,0.5,Anchor,MLP
20,0.5,Anchor,MLP
21,0.5,Anchor,MLP
22,0.5,Anchor,MLP
23,0.5,Anchor,MLP
24,0.5,Anchor,MLP
25,0.5,Anchor,MLP
26,0.5,Anchor,MLP
27,0.5,Anchor,MLP
28,0.5,Anchor,MLP
29,0.5,Anchor,MLP
30,0.5,Anchor,MLP
31,0.5,Anchor,MLP
32,0.5,Anchor,MLP
33,0.5,Anchor,MLP
34,0.5,Anchor,MLP
