Number of reserved features,Faithfulness score,Interpreter,Model
1,0.6323,SHAP,RF
2,0.6311,SHAP,RF
3,0.6311,SHAP,RF
4,0.6304,SHAP,RF
5,0.6314,SHAP,RF
6,0.6307,SHAP,RF
7,0.632,SHAP,RF
8,0.6311,SHAP,RF
9,0.6323,SHAP,RF
10,0.6311,SHAP,RF
11,0.6307,SHAP,RF
12,0.6311,SHAP,RF
13,0.6599,SHAP,RF
14,0.6655,SHAP,RF
15,0.6624,SHAP,RF
16,0.6084,SHAP,RF
17,0.6292,SHAP,RF
18,0.7053,SHAP,RF
19,0.6354,SHAP,RF
20,0.6317,SHAP,RF
21,0.618,SHAP,RF
22,0.5174,SHAP,RF
23,0.6003,SHAP,RF
24,0.6773,SHAP,RF
25,0.7137,SHAP,RF
26,0.8693,SHAP,RF
27,0.773,SHAP,RF
28,0.8776,SHAP,RF
29,0.8606,SHAP,RF
30,0.913,SHAP,RF
31,0.9317,SHAP,RF
32,0.9053,SHAP,RF
33,0.8792,SHAP,RF
34,0.8351,SHAP,RF
35,0.9463,SHAP,RF
36,0.9596,SHAP,RF
37,0.9345,SHAP,RF
38,0.963,SHAP,RF
39,0.9562,SHAP,RF
40,0.9764,SHAP,RF
41,0.9786,SHAP,RF
42,0.9807,SHAP,RF
43,0.9826,SHAP,RF
44,0.9795,SHAP,RF
45,0.9817,SHAP,RF
46,0.9826,SHAP,RF
47,0.9851,SHAP,RF
48,0.986,SHAP,RF
49,0.9863,SHAP,RF
50,0.9873,SHAP,RF
51,0.9885,SHAP,RF
52,0.9857,SHAP,RF
53,0.9854,SHAP,RF
54,0.9857,SHAP,RF
55,0.9879,SHAP,RF
56,0.9907,SHAP,RF
57,1,SHAP,RF
1,0.6323,LIME,RF
2,0.7677,LIME,RF
3,0.6677,LIME,RF
4,0.7752,LIME,RF
5,0.7447,LIME,RF
6,0.7953,LIME,RF
7,0.786,LIME,RF
8,0.7512,LIME,RF
9,0.7547,LIME,RF
10,0.9158,LIME,RF
11,0.8966,LIME,RF
12,0.8745,LIME,RF
13,0.9248,LIME,RF
14,0.896,LIME,RF
15,0.9307,LIME,RF
16,0.9289,LIME,RF
17,0.9003,LIME,RF
18,0.9025,LIME,RF
19,0.9261,LIME,RF
20,0.8981,LIME,RF
21,0.918,LIME,RF
22,0.9425,LIME,RF
23,0.9385,LIME,RF
24,0.9543,LIME,RF
25,0.928,LIME,RF
26,0.9584,LIME,RF
27,0.9587,LIME,RF
28,0.9621,LIME,RF
29,0.9571,LIME,RF
30,0.9581,LIME,RF
31,0.963,LIME,RF
32,0.9575,LIME,RF
33,0.9472,LIME,RF
34,0.9602,LIME,RF
35,0.9646,LIME,RF
36,0.9565,LIME,RF
37,0.9696,LIME,RF
38,0.9693,LIME,RF
39,0.9727,LIME,RF
40,0.9618,LIME,RF
41,0.9652,LIME,RF
42,0.9727,LIME,RF
43,0.9727,LIME,RF
44,0.9658,LIME,RF
45,0.9733,LIME,RF
46,0.9705,LIME,RF
47,0.9711,LIME,RF
48,0.9717,LIME,RF
49,0.973,LIME,RF
50,0.9764,LIME,RF
51,0.9773,LIME,RF
52,0.9783,LIME,RF
53,0.9792,LIME,RF
54,0.9832,LIME,RF
55,0.9792,LIME,RF
56,0.9857,LIME,RF
57,1,LIME,RF
1,0.8031,Anchor,RF
2,0.8245,Anchor,RF
3,0.8214,Anchor,RF
4,0.4537,Anchor,RF
5,0.3814,Anchor,RF
6,0.3857,Anchor,RF
7,0.3708,Anchor,RF
8,0.3696,Anchor,RF
9,0.3696,Anchor,RF
10,0.3696,Anchor,RF
11,0.3702,Anchor,RF
12,0.3699,Anchor,RF
13,0.3689,Anchor,RF
14,0.3689,Anchor,RF
15,0.3689,Anchor,RF
16,0.3689,Anchor,RF
17,0.3689,Anchor,RF
18,0.3689,Anchor,RF
19,0.3689,Anchor,RF
20,0.3689,Anchor,RF
21,0.3689,Anchor,RF
22,0.3689,Anchor,RF
23,0.3689,Anchor,RF
24,0.3689,Anchor,RF
25,0.3689,Anchor,RF
26,0.3689,Anchor,RF
27,0.3689,Anchor,RF
28,0.3689,Anchor,RF
29,0.3689,Anchor,RF
30,0.3689,Anchor,RF
31,0.3689,Anchor,RF
32,0.3689,Anchor,RF
33,0.3689,Anchor,RF
34,0.3689,Anchor,RF
35,0.3689,Anchor,RF
36,0.3689,Anchor,RF
