Number of removed features,Robustness score,Interpreter,Model
1,0.908,SHAP,RF
2,0.8682,SHAP,RF
3,0.8298,SHAP,RF
4,0.8161,SHAP,RF
5,0.782,SHAP,RF
6,0.7661,SHAP,RF
7,0.7625,SHAP,RF
8,0.7589,SHAP,RF
9,0.7263,SHAP,RF
10,0.7205,SHAP,RF
11,0.7125,SHAP,RF
12,0.7161,SHAP,RF
13,0.7198,SHAP,RF
14,0.6618,SHAP,RF
15,0.6741,SHAP,RF
16,0.6698,SHAP,RF
17,0.6886,SHAP,RF
18,0.7227,SHAP,RF
19,0.7371,SHAP,RF
20,0.7038,SHAP,RF
21,0.7306,SHAP,RF
22,0.7531,SHAP,RF
23,0.7632,SHAP,RF
24,0.7473,SHAP,RF
25,0.6973,SHAP,RF
26,0.6322,SHAP,RF
27,0.5518,SHAP,RF
28,0.4873,SHAP,RF
29,0.4591,SHAP,RF
30,0.4533,SHAP,RF
31,0.4714,SHAP,RF
32,0.5069,SHAP,RF
33,0.5272,SHAP,RF
34,0.5822,SHAP,RF
35,0.6025,SHAP,RF
36,0.622,SHAP,RF
37,0.6293,SHAP,RF
38,0.6068,SHAP,RF
39,0.5981,SHAP,RF
40,0.5663,SHAP,RF
41,0.5641,SHAP,RF
42,0.5851,SHAP,RF
43,0.6068,SHAP,RF
44,0.6336,SHAP,RF
45,0.7009,SHAP,RF
46,0.7379,SHAP,RF
47,0.7379,SHAP,RF
48,0.7299,SHAP,RF
49,0.6778,SHAP,RF
50,0.748,SHAP,RF
51,0.8747,SHAP,RF
52,0.9587,SHAP,RF
53,0.9942,SHAP,RF
54,0.9978,SHAP,RF
55,1,SHAP,RF
56,1,SHAP,RF
57,1,SHAP,RF
1,0.958,LIME,RF
2,0.9457,LIME,RF
3,0.9305,LIME,RF
4,0.9138,LIME,RF
5,0.9153,LIME,RF
6,0.8993,LIME,RF
7,0.8863,LIME,RF
8,0.8668,LIME,RF
9,0.8088,LIME,RF
10,0.7951,LIME,RF
11,0.7886,LIME,RF
12,0.8045,LIME,RF
13,0.7936,LIME,RF
14,0.8016,LIME,RF
15,0.798,LIME,RF
16,0.798,LIME,RF
17,0.7857,LIME,RF
18,0.7791,LIME,RF
19,0.7777,LIME,RF
20,0.7835,LIME,RF
21,0.7734,LIME,RF
22,0.7799,LIME,RF
23,0.7791,LIME,RF
24,0.7799,LIME,RF
25,0.7864,LIME,RF
26,0.7828,LIME,RF
27,0.7893,LIME,RF
28,0.8016,LIME,RF
29,0.8117,LIME,RF
30,0.819,LIME,RF
31,0.824,LIME,RF
32,0.8226,LIME,RF
33,0.8298,LIME,RF
34,0.8313,LIME,RF
35,0.819,LIME,RF
36,0.8161,LIME,RF
37,0.8385,LIME,RF
38,0.8364,LIME,RF
39,0.8233,LIME,RF
40,0.8168,LIME,RF
41,0.8117,LIME,RF
42,0.803,LIME,RF
43,0.7864,LIME,RF
44,0.7683,LIME,RF
45,0.7762,LIME,RF
46,0.7726,LIME,RF
47,0.761,LIME,RF
48,0.7502,LIME,RF
49,0.7487,LIME,RF
50,0.74,LIME,RF
51,0.7314,LIME,RF
52,0.7531,LIME,RF
53,0.7697,LIME,RF
54,0.7958,LIME,RF
55,0.8161,LIME,RF
56,0.8776,LIME,RF
57,1,LIME,RF
1,0.9015,Anchor,RF
2,0.8689,Anchor,RF
