Number of reserved features,Faithfulness score,Interpreter,Model
1,0.9737,SHAP,RF
2,0.9934,SHAP,RF
3,0.9934,SHAP,RF
4,0.9901,SHAP,RF
5,0.9934,SHAP,RF
6,0.9901,SHAP,RF
7,0.9901,SHAP,RF
8,0.9934,SHAP,RF
9,0.9934,SHAP,RF
10,0.9901,SHAP,RF
11,0.9934,SHAP,RF
12,0.9836,SHAP,RF
13,0.9836,SHAP,RF
14,0.9901,SHAP,RF
15,0.9901,SHAP,RF
16,0.9803,SHAP,RF
17,0.977,SHAP,RF
18,0.9868,SHAP,RF
19,0.9901,SHAP,RF
20,0.9836,SHAP,RF
21,0.9868,SHAP,RF
22,0.9901,SHAP,RF
23,0.9934,SHAP,RF
24,0.9934,SHAP,RF
25,0.9934,SHAP,RF
26,0.9868,SHAP,RF
27,0.9901,SHAP,RF
28,0.9967,SHAP,RF
29,0.9934,SHAP,RF
30,0.9967,SHAP,RF
31,0.9934,SHAP,RF
32,1,SHAP,RF
33,1,SHAP,RF
34,1,SHAP,RF
35,1,SHAP,RF
36,1,SHAP,RF
37,1,SHAP,RF
38,1,SHAP,RF
39,1,SHAP,RF
40,1,SHAP,RF
41,1,SHAP,RF
42,1,SHAP,RF
43,1,SHAP,RF
44,1,SHAP,RF
45,1,SHAP,RF
46,1,SHAP,RF
47,1,SHAP,RF
48,1,SHAP,RF
1,0.9737,LIME,RF
2,0.9934,LIME,RF
3,0.9934,LIME,RF
4,0.9803,LIME,RF
5,0.9836,LIME,RF
6,0.9803,LIME,RF
7,0.9803,LIME,RF
8,0.9901,LIME,RF
9,0.9901,LIME,RF
10,0.977,LIME,RF
11,0.9836,LIME,RF
12,0.9901,LIME,RF
13,0.9868,LIME,RF
14,0.9868,LIME,RF
15,0.9868,LIME,RF
16,0.9836,LIME,RF
17,0.977,LIME,RF
18,0.9704,LIME,RF
19,0.9803,LIME,RF
20,0.9836,LIME,RF
21,0.9803,LIME,RF
22,0.9803,LIME,RF
23,0.977,LIME,RF
24,0.9901,LIME,RF
25,0.9868,LIME,RF
26,0.9803,LIME,RF
27,0.9803,LIME,RF
28,0.9836,LIME,RF
29,0.9836,LIME,RF
30,0.9868,LIME,RF
31,0.9901,LIME,RF
32,0.9868,LIME,RF
33,0.9934,LIME,RF
34,0.9868,LIME,RF
35,0.9901,LIME,RF
36,0.9868,LIME,RF
37,0.9868,LIME,RF
38,0.9836,LIME,RF
39,0.9934,LIME,RF
40,0.9934,LIME,RF
41,0.9934,LIME,RF
42,0.9967,LIME,RF
43,0.9901,LIME,RF
44,0.9967,LIME,RF
45,1,LIME,RF
46,1,LIME,RF
47,1,LIME,RF
48,1,LIME,RF
1,0.7928,Anchor,RF
2,0.9671,Anchor,RF
3,0.9803,Anchor,RF
4,0.9803,Anchor,RF
5,0.9803,Anchor,RF
6,0.9803,Anchor,RF
7,0.9803,Anchor,RF
8,0.9803,Anchor,RF
9,0.9803,Anchor,RF
10,0.9803,Anchor,RF
11,0.9803,Anchor,RF
12,0.9803,Anchor,RF
13,0.9803,Anchor,RF
14,0.9803,Anchor,RF
15,0.9803,Anchor,RF
16,0.9803,Anchor,RF
17,0.9803,Anchor,RF
18,0.9803,Anchor,RF
19,0.9803,Anchor,RF
20,0.9803,Anchor,RF
21,0.9803,Anchor,RF
22,0.9803,Anchor,RF
23,0.9803,Anchor,RF
24,0.9803,Anchor,RF
25,0.9803,Anchor,RF
26,0.9803,Anchor,RF
27,0.9803,Anchor,RF
28,0.9803,Anchor,RF
29,0.9803,Anchor,RF
30,0.9803,Anchor,RF
31,0.9803,Anchor,RF
32,0.9803,Anchor,RF
33,0.9803,Anchor,RF
34,0.9803,Anchor,RF
35,0.9803,Anchor,RF
36,0.9803,Anchor,RF
37,0.9803,Anchor,RF
38,0.9803,Anchor,RF
39,0.9803,Anchor,RF
40,0.9803,Anchor,RF
41,0.9803,Anchor,RF
42,0.9803,Anchor,RF
43,0.9803,Anchor,RF
44,0.9803,Anchor,RF
45,0.9803,Anchor,RF
46,0.9803,Anchor,RF
47,0.9803,Anchor,RF
48,0.9803,Anchor,RF
1,0.9408,LORE,RF
2,0.9638,LORE,RF
3,0.9737,LORE,RF
4,0.9539,LORE,RF
5,0.9572,LORE,RF
6,0.9572,LORE,RF
7,0.9539,LORE,RF
8,0.9539,LORE,RF
9,0.9539,LORE,RF
10,0.9539,LORE,RF
11,0.9539,LORE,RF
12,0.9539,LORE,RF
13,0.9539,LORE,RF
14,0.9539,LORE,RF
15,0.9539,LORE,RF
16,0.9539,LORE,RF
17,0.9539,LORE,RF
18,0.9539,LORE,RF
19,0.9539,LORE,RF
20,0.9539,LORE,RF
21,0.9539,LORE,RF
22,0.9539,LORE,RF
23,0.9539,LORE,RF
24,0.9539,LORE,RF
25,0.9539,LORE,RF
26,0.9539,LORE,RF
27,0.9539,LORE,RF
28,0.9539,LORE,RF
29,0.9539,LORE,RF
30,0.9539,LORE,RF
31,0.9539,LORE,RF
32,0.9539,LORE,RF
33,0.9539,LORE,RF
34,0.9539,LORE,RF
35,0.9539,LORE,RF
36,0.9539,LORE,RF
37,0.9539,LORE,RF
38,0.9539,LORE,RF
39,0.9539,LORE,RF
40,0.9539,LORE,RF
41,0.9539,LORE,RF
42,0.9539,LORE,RF
43,0.9539,LORE,RF
44,0.9539,LORE,RF
45,0.9539,LORE,RF
46,0.9539,LORE,RF
47,0.9539,LORE,RF
48,0.9539,LORE,RF
1,0.4178,SHAP,SVC
2,0.4178,SHAP,SVC
3,0.4178,SHAP,SVC
4,0.5822,SHAP,SVC
5,0.5822,SHAP,SVC
6,0.5822,SHAP,SVC
7,0.5822,SHAP,SVC
8,0.5822,SHAP,SVC
9,0.7599,SHAP,SVC
10,0.9605,SHAP,SVC
11,0.9539,SHAP,SVC
12,0.9375,SHAP,SVC
