Number of removed features,Robustness score,Interpreter,Model
1,0.9847,SHAP,RF
2,1,SHAP,RF
3,1,SHAP,RF
4,1,SHAP,RF
5,0.9924,SHAP,RF
6,1,SHAP,RF
7,1,SHAP,RF
8,1,SHAP,RF
9,1,SHAP,RF
10,1,SHAP,RF
11,1,SHAP,RF
12,1,SHAP,RF
13,0.9924,SHAP,RF
14,0.9924,SHAP,RF
15,1,SHAP,RF
16,1,SHAP,RF
17,1,SHAP,RF
18,1,SHAP,RF
19,1,SHAP,RF
20,1,SHAP,RF
21,1,SHAP,RF
22,1,SHAP,RF
23,1,SHAP,RF
24,1,SHAP,RF
25,1,SHAP,RF
26,1,SHAP,RF
27,1,SHAP,RF
28,1,SHAP,RF
29,1,SHAP,RF
30,1,SHAP,RF
31,1,SHAP,RF
32,1,SHAP,RF
33,1,SHAP,RF
34,1,SHAP,RF
35,1,SHAP,RF
36,1,SHAP,RF
37,1,SHAP,RF
38,1,SHAP,RF
39,1,SHAP,RF
40,1,SHAP,RF
41,1,SHAP,RF
42,1,SHAP,RF
43,1,SHAP,RF
44,1,SHAP,RF
45,1,SHAP,RF
46,1,SHAP,RF
47,1,SHAP,RF
48,1,SHAP,RF
1,1,LIME,RF
2,0.9237,LIME,RF
3,0.8626,LIME,RF
4,0.8321,LIME,RF
5,0.8168,LIME,RF
6,0.8397,LIME,RF
7,0.855,LIME,RF
8,0.8779,LIME,RF
9,0.9008,LIME,RF
10,0.8931,LIME,RF
11,0.9084,LIME,RF
12,0.9542,LIME,RF
13,0.9771,LIME,RF
14,0.9618,LIME,RF
15,0.9771,LIME,RF
16,0.9771,LIME,RF
17,0.9771,LIME,RF
18,0.9771,LIME,RF
19,0.9771,LIME,RF
20,0.9771,LIME,RF
21,0.9847,LIME,RF
22,0.9924,LIME,RF
23,0.9924,LIME,RF
24,0.9924,LIME,RF
25,1,LIME,RF
26,1,LIME,RF
27,1,LIME,RF
28,1,LIME,RF
29,1,LIME,RF
30,1,LIME,RF
31,1,LIME,RF
32,1,LIME,RF
33,1,LIME,RF
34,1,LIME,RF
35,1,LIME,RF
36,1,LIME,RF
37,1,LIME,RF
38,1,LIME,RF
39,1,LIME,RF
40,1,LIME,RF
41,1,LIME,RF
42,1,LIME,RF
43,1,LIME,RF
44,1,LIME,RF
45,1,LIME,RF
46,1,LIME,RF
47,1,LIME,RF
48,1,LIME,RF
1,0.9466,Anchor,RF
2,0.8931,Anchor,RF
3,0.8779,Anchor,RF
4,0.9008,Anchor,RF
5,0.8931,Anchor,RF
6,0.8931,Anchor,RF
7,0.9084,Anchor,RF
8,0.9008,Anchor,RF
